model,seed,postprocess,horizon,target_scope,origin,mse,mae
RELAX_SHORT_O,20260914,raw,3,terminal_H,1452,0.003909477240690144,0.03761558052681556
RELAX_SHORT_O,20260914,raw,3,terminal_H,1464,0.04799445695283918,0.15828024233344795
RELAX_SHORT_O,20260914,raw,3,terminal_H,1476,0.0035562724348158826,0.03784773775947873
RELAX_SHORT_O,20260914,raw,3,terminal_H,1488,0.011931816572933844,0.037338226139095654
RELAX_SHORT_O,20260914,raw,3,terminal_H,1500,0.008804869740724275,0.04335310224205552
RELAX_SHORT_O,20260914,raw,3,terminal_H,1512,0.06274863070599163,0.1855226781902324
RELAX_SHORT_O,20260914,raw,3,terminal_H,1524,0.009031270829753635,0.07052855390872785
RELAX_SHORT_O,20260914,raw,3,terminal_H,1536,0.01543046078598805,0.08521973102892595
RELAX_SHORT_O,20260914,raw,3,terminal_H,1548,0.020891312147747903,0.10831129309842998
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1392,0.012868663436417628,0.042997122501962595
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1404,0.004235976132564611,0.031997278459287674
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1416,0.004242619140474288,0.028112304826186808
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1428,0.004914740317289726,0.031010054578331288
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1440,0.004742505372320712,0.028191993626466932
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1452,0.004485615610876824,0.03266138670489785
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1464,0.04964602685338689,0.15967764229646655
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1476,0.0034224970408539136,0.0313104375531971
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1488,0.01018582171164125,0.033960337774038965
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1500,0.00831732229467179,0.036505131170711
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1512,0.04689596851996672,0.13729820635339737
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1524,0.009666382233788379,0.064473743677866
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1536,0.014580746278304628,0.08102856186688741
