system,information,future_hour,mse,rmse,mae_same_mean,mae_median_separate,gamma_to_I4
M_r1,I2,5,0.18749972200124512,0.4330123808867884,0.37499944400249013,0.24999999999999953,1.2636067686304744e-08
M_r1,I2,6,0.18749999742415874,0.433012698917894,0.3749999948483175,0.2499999999999996,3.2223738621140993e-09
M_r1,I2,7,0.18749999915842985,0.4330127009204578,0.37499999831685943,0.24999999999999936,2.1228838632972813e-10
M_r1,I2,8,0.18749999982649287,0.43301270169187056,0.3749999996529858,0.24999999999999958,2.740364158141296e-12
M_r1,I2,9,0.18749999998908026,0.4330127018796103,0.3749999999781608,0.24999999999999928,1.749598733631912e-13
M_r1,I2,10,0.18749999999983033,0.4330127018920234,0.3749999999996613,0.24999999999999895,8.574269867628983e-14
M_r1,I2,11,0.18749999999998462,0.4330127018922016,0.37499999999996947,0.2499999999999996,7.607696205857308e-15
M_r1,I2,12,0.1874999999999947,0.4330127018922132,0.37499999999999,0.2499999999999993,1.8008579445244805e-16
M_r1,I3,1,0.18064855585593873,0.4250277118682248,0.36129711171187767,0.24999999999999967,0.00020934520827931515
M_r1,I3,2,0.1873623131144798,0.4328536855734046,0.37472462622895963,0.24999999999999967,3.425896610689757e-05
M_r1,I3,3,0.1874552079612395,0.43296097741163636,0.37491041592247887,0.24999999999999975,1.6574122685301198e-06
M_r1,I3,4,0.1874940768125697,0.4330058623304882,0.3749881536251391,0.24999999999999944,7.013713410285636e-09
M_r1,I3,5,0.1874997132404371,0.43301237077067106,0.3749994264808744,0.24999999999999953,3.87525966122592e-09
M_r1,I3,6,0.18749999519003024,0.4330126963381446,0.3749999903800604,0.2499999999999996,9.882453743720803e-10
M_r1,I3,7,0.18749999901124653,0.4330127007505052,0.37499999802249334,0.24999999999999936,6.510511343507151e-11
M_r1,I3,8,0.1874999998245928,0.43301270168967654,0.37499999964918596,0.24999999999999958,8.404214778302033e-13
M_r1,I3,9,0.18749999998895872,0.43301270187946994,0.37499999997791816,0.24999999999999928,5.3657115206393955e-14
M_r1,I3,10,0.18749999999977102,0.4330127018919549,0.37499999999954253,0.24999999999999895,2.6295777268441647e-14
M_r1,I3,11,0.18749999999997946,0.4330127018921956,0.37499999999995876,0.2499999999999996,2.3331465903837862e-15
M_r1,I3,12,0.1874999999999946,0.4330127018922131,0.3749999999999896,0.2499999999999993,5.522914501400833e-17
M_r1,I4,1,0.18043921064765947,0.424781368056156,0.36087842129531894,0.24999999999999967,0.0
M_r1,I4,2,0.18732805414837295,0.43281411038501616,0.3746561082967458,0.24999999999999967,0.0
M_r1,I4,3,0.18745355054897087,0.4329590633639292,0.37490710109794173,0.24999999999999975,0.0
M_r1,I4,4,0.18749406979885652,0.4330058542316218,0.37498813959771304,0.24999999999999944,0.0
M_r1,I4,5,0.18749970936517707,0.4330123662959028,0.37499941873035414,0.24999999999999953,0.0
M_r1,I4,6,0.187499994201785,0.4330126951970173,0.37499998840357,0.2499999999999996,0.0
M_r1,I4,7,0.18749999894614147,0.4330127006753283,0.37499999789228294,0.24999999999999936,0.0
M_r1,I4,8,0.18749999982375248,0.4330127016887062,0.37499999964750497,0.24999999999999958,0.0
M_r1,I4,9,0.1874999999889054,0.4330127018794084,0.3749999999778108,0.24999999999999928,0.0
