system,outer_status,alpha,block,horizon,n,raw_rmse,raw_mae,rmse,mae
raw_duration,OK,0.08182509217273147,720,12,46200,0.06994271146356906,0.04014393777611784,0.06994001682827765,0.04014006148599818
raw_duration,OK,0.08182509217273147,1056,12,46200,0.0780136636076439,0.046241869242730056,0.07800896986938094,0.046230261463016696
raw_duration,OK,0.08182509217273147,1392,12,46200,0.11349851371068452,0.05927193139993804,0.11349561998389901,0.05923785797002385
orthogonal_duration,OK,0.09796374117705361,720,3,11550,0.055742944048772995,0.02853615851720075,0.055738478158283714,0.028526737099417755
orthogonal_duration,OK,0.09796374117705361,1056,3,11550,0.06221814810505292,0.03325234266207323,0.062203375184380856,0.033229397182933336
orthogonal_duration,OK,0.09796374117705361,1392,3,11550,0.10754772607717199,0.051436386026633425,0.10754072538017939,0.05138236854201871
orthogonal_duration,OK,0.09796374117705361,720,12,46200,0.0698903407211685,0.04014281388471435,0.06988750509863435,0.040138510703110586
orthogonal_duration,OK,0.09796374117705361,1056,12,46200,0.07795653549975194,0.04622266196564178,0.07795216514913976,0.04621152381798753
orthogonal_duration,OK,0.09796374117705361,1392,12,46200,0.11341756442867773,0.05926632540288075,0.11341512921037272,0.0592377418551928
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,720,3,11550,0.05589577308266276,0.02846733320343159,0.05589026129081106,0.02845714276180768
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,1056,3,11550,0.06240414869487597,0.033239056211795445,0.06238493648552846,0.0332112496331318
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,1392,3,11550,0.10785652026129473,0.05142333254606192,0.10784551376242232,0.05132710722814822
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,720,12,46200,0.0702744804016077,0.04018362104094454,0.0702725282325206,0.04018002874407417
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,1056,12,46200,0.07831167412920281,0.04633956363835892,0.07830591311366505,0.04632589489157066
permuted_orthogonal,ZERO_ONLY_FEASIBLE,0.0,1392,12,46200,0.11394747712176027,0.05928244603855079,0.11394193518666669,0.05922485594192819
