stage,model,horizon,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,D_LONG,9,terminal_H,raw,3850,0.11288756266854112,0.06970933715194706
DEV_EVAL,D_LONG,9,path_1_to_H,raw,34650,0.11827135690494117,0.06542756614354561
DEV_EVAL,D_LONG,12,terminal_H,raw,3850,0.11959600101917213,0.07562347315571195
DEV_EVAL,D_LONG,12,path_1_to_H,raw,46200,0.11832860982963575,0.06760034629161565
DEV_EVAL,D_LONG,3,terminal_H,clip_0_1,3850,0.11333097771410737,0.06262261802451058
DEV_EVAL,D_LONG,3,path_1_to_H,clip_0_1,11550,0.1126252159535548,0.05853687848744263
DEV_EVAL,D_LONG,6,terminal_H,clip_0_1,3850,0.11653971334943279,0.0659252560666904
DEV_EVAL,D_LONG,6,path_1_to_H,clip_0_1,23100,0.12038982055030466,0.06429993074806745
DEV_EVAL,D_LONG,9,terminal_H,clip_0_1,3850,0.11285288194729778,0.06968399273198586
DEV_EVAL,D_LONG,9,path_1_to_H,clip_0_1,34650,0.11824058521169718,0.06537364584338502
DEV_EVAL,D_LONG,12,terminal_H,clip_0_1,3850,0.11940388667618487,0.07552478492210621
DEV_EVAL,D_LONG,12,path_1_to_H,clip_0_1,46200,0.11827152273153627,0.0675398090945688
DEV_EVAL,OD_LONG,3,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
DEV_EVAL,OD_LONG,3,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
DEV_EVAL,OD_LONG,6,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
DEV_EVAL,OD_LONG,6,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
DEV_EVAL,OD_LONG,9,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
DEV_EVAL,OD_LONG,9,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
DEV_EVAL,OD_LONG,12,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
DEV_EVAL,OD_LONG,12,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
DEV_EVAL,OD_LONG,3,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
DEV_EVAL,OD_LONG,3,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
DEV_EVAL,OD_LONG,6,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
DEV_EVAL,OD_LONG,6,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
DEV_EVAL,OD_LONG,9,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
DEV_EVAL,OD_LONG,9,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
DEV_EVAL,OD_LONG,12,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
DEV_EVAL,OD_LONG,12,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
DEV_EVAL,O_LONG_D24,3,terminal_H,raw,3850,0.10848689115707791,0.06230462447714931
DEV_EVAL,O_LONG_D24,3,path_1_to_H,raw,11550,0.10876339131671758,0.05829527478629724
DEV_EVAL,O_LONG_D24,6,terminal_H,raw,3850,0.11420721653010071,0.06970083553699957
DEV_EVAL,O_LONG_D24,6,path_1_to_H,raw,23100,0.11560179987372557,0.06511070305065716
DEV_EVAL,O_LONG_D24,9,terminal_H,raw,3850,0.11048893550649434,0.07217884749717442
DEV_EVAL,O_LONG_D24,9,path_1_to_H,raw,34650,0.11397785166239752,0.06671845961192735
DEV_EVAL,O_LONG_D24,12,terminal_H,raw,3850,0.11614194575130403,0.07694130895780774
DEV_EVAL,O_LONG_D24,12,path_1_to_H,raw,46200,0.11437389251228701,0.06900942449023091
DEV_EVAL,O_LONG_D24,3,terminal_H,clip_0_1,3850,0.1084848095807677,0.06229258419829627
DEV_EVAL,O_LONG_D24,3,path_1_to_H,clip_0_1,11550,0.1087554382508737,0.05824659011435814
DEV_EVAL,O_LONG_D24,6,terminal_H,clip_0_1,3850,0.11420713890560683,0.06969799292406353
DEV_EVAL,O_LONG_D24,6,path_1_to_H,clip_0_1,23100,0.11559801374767938,0.06508464395131226
DEV_EVAL,O_LONG_D24,9,terminal_H,clip_0_1,3850,0.1104879273462714,0.07217333237772047
DEV_EVAL,O_LONG_D24,9,path_1_to_H,clip_0_1,34650,0.11397513783275387,0.06669978551148417
DEV_EVAL,O_LONG_D24,12,terminal_H,clip_0_1,3850,0.11613284765620017,0.07692079221597523
DEV_EVAL,O_LONG_D24,12,path_1_to_H,clip_0_1,46200,0.11436909631275378,0.06899062852393256
DEV_EVAL,O24_D_LONG,3,terminal_H,raw,3850,0.1115496368641863,0.0622666249328352
DEV_EVAL,O24_D_LONG,3,path_1_to_H,raw,11550,0.11105954349179319,0.05866418944632238
DEV_EVAL,O24_D_LONG,6,terminal_H,raw,3850,0.11663804195995983,0.0669169765258295
DEV_EVAL,O24_D_LONG,6,path_1_to_H,raw,23100,0.11926355000127117,0.06449545001987367
DEV_EVAL,O24_D_LONG,9,terminal_H,raw,3850,0.11523185313460146,0.07279268486646527
DEV_EVAL,O24_D_LONG,9,path_1_to_H,raw,34650,0.11803947328882644,0.06635114392166029
DEV_EVAL,O24_D_LONG,12,terminal_H,raw,3850,0.12149644453337682,0.0776925815809563
DEV_EVAL,O24_D_LONG,12,path_1_to_H,raw,46200,0.11847760195627936,0.06869684174383961
DEV_EVAL,O24_D_LONG,3,terminal_H,clip_0_1,3850,0.11154782940352548,0.062252008500805596
DEV_EVAL,O24_D_LONG,3,path_1_to_H,clip_0_1,11550,0.1110559190156352,0.05864222479967404
DEV_EVAL,O24_D_LONG,6,terminal_H,clip_0_1,3850,0.11662885930450838,0.06680619163278102
DEV_EVAL,O24_D_LONG,6,path_1_to_H,clip_0_1,23100,0.11925652133568751,0.06443230208350063
DEV_EVAL,O24_D_LONG,9,terminal_H,clip_0_1,3850,0.11523147549343711,0.07278394029169935
DEV_EVAL,O24_D_LONG,9,path_1_to_H,clip_0_1,34650,0.11803411210158805,0.06629888701847231
DEV_EVAL,O24_D_LONG,12,terminal_H,clip_0_1,3850,0.12149270650695808,0.07767998102789002
DEV_EVAL,O24_D_LONG,12,path_1_to_H,clip_0_1,46200,0.11847242236165033,0.06865479277446633
DEV_EVAL,O_LONG_D0,3,terminal_H,raw,3850,0.11035213751524543,0.06397039629323226
DEV_EVAL,O_LONG_D0,3,path_1_to_H,raw,11550,0.11037444221534515,0.05971320640720136
DEV_EVAL,O_LONG_D0,6,terminal_H,raw,3850,0.11750807631943574,0.07284696182944182
DEV_EVAL,O_LONG_D0,6,path_1_to_H,raw,23100,0.11785482138891423,0.06724763897923823
DEV_EVAL,O_LONG_D0,9,terminal_H,raw,3850,0.11408046126458644,0.07461809095091257
DEV_EVAL,O_LONG_D0,9,path_1_to_H,raw,34650,0.11657927130452597,0.06892613995179143
