stage,candidate,reference,horizon,target_scope,postprocess,origin,mse_gain,mae_gain
SELECT,D_LONG,S,6,path_1_to_H,raw,1116,0.0007835160008093532,0.0027930943206398015
SELECT,D_LONG,S,6,path_1_to_H,raw,1128,0.004308165225689408,0.021177572952086977
SELECT,D_LONG,S,6,path_1_to_H,raw,1140,0.0012014043604934794,0.00342679615233396
SELECT,D_LONG,S,6,path_1_to_H,raw,1152,0.0033479184714309924,0.021402156258111902
SELECT,D_LONG,S,6,path_1_to_H,raw,1164,0.0008600974498231045,0.0026466587756189684
SELECT,D_LONG,S,6,path_1_to_H,raw,1176,0.006812057131372114,0.026471731420017956
SELECT,D_LONG,S,6,path_1_to_H,raw,1188,0.0016323658854375703,0.005623904961490827
SELECT,D_LONG,S,6,path_1_to_H,raw,1200,0.0044096845012848735,0.01583918491015372
SELECT,D_LONG,S,6,path_1_to_H,raw,1212,0.0007716947363217763,0.003882015970881594
SELECT,D_LONG,S,9,terminal_H,raw,1056,0.0003940957808283438,0.0008101070967572566
SELECT,D_LONG,S,9,terminal_H,raw,1068,0.003777202490793685,0.025220349151509208
SELECT,D_LONG,S,9,terminal_H,raw,1080,0.0042938940506951,0.01524974334002061
SELECT,D_LONG,S,9,terminal_H,raw,1092,0.004866056350895839,0.023178683467053207
SELECT,D_LONG,S,9,terminal_H,raw,1104,0.002237565758011787,0.015578465440601196
SELECT,D_LONG,S,9,terminal_H,raw,1116,0.013431386530572208,0.04780767451986395
SELECT,D_LONG,S,9,terminal_H,raw,1128,0.002798740861756531,0.02191438307147238
SELECT,D_LONG,S,9,terminal_H,raw,1140,0.012739956702058719,0.04857883406684185
SELECT,D_LONG,S,9,terminal_H,raw,1152,0.0029058061605851298,0.02043512965660086
SELECT,D_LONG,S,9,terminal_H,raw,1164,0.013215768175321578,0.049689876203124095
SELECT,D_LONG,S,9,terminal_H,raw,1176,0.006130116785358249,0.031755167863907766
SELECT,D_LONG,S,9,terminal_H,raw,1188,0.013169772807189301,0.04944815868841192
SELECT,D_LONG,S,9,terminal_H,raw,1200,0.0035282208478444993,0.019607998301168376
SELECT,D_LONG,S,9,terminal_H,raw,1212,0.01107025615491045,0.036749949680284756
SELECT,D_LONG,S,9,path_1_to_H,raw,1056,0.005100656629853786,0.02391049993175187
SELECT,D_LONG,S,9,path_1_to_H,raw,1068,0.0004502587222418338,0.004694626333924611
SELECT,D_LONG,S,9,path_1_to_H,raw,1080,0.004879094902288224,0.0239980045732281
SELECT,D_LONG,S,9,path_1_to_H,raw,1092,0.0008770587828500082,0.004878285892315945
SELECT,D_LONG,S,9,path_1_to_H,raw,1104,0.0035926605425496473,0.021296184425219765
SELECT,D_LONG,S,9,path_1_to_H,raw,1116,0.0028205312746242403,0.011362858638557282
SELECT,D_LONG,S,9,path_1_to_H,raw,1128,0.004776276310664222,0.023274336477328933
SELECT,D_LONG,S,9,path_1_to_H,raw,1140,0.003169850762306914,0.011773859984842998
SELECT,D_LONG,S,9,path_1_to_H,raw,1152,0.0036773507320996194,0.02365190675859485
SELECT,D_LONG,S,9,path_1_to_H,raw,1164,0.00296622833429208,0.011295099420689493
SELECT,D_LONG,S,9,path_1_to_H,raw,1176,0.007463314715272531,0.02900986068308917
SELECT,D_LONG,S,9,path_1_to_H,raw,1188,0.003637984427524638,0.013979148726030453
SELECT,D_LONG,S,9,path_1_to_H,raw,1200,0.004983502048223707,0.01887559389188462
SELECT,D_LONG,S,9,path_1_to_H,raw,1212,0.0024449356806866976,0.010091114113172059
SELECT,D_LONG,S,12,terminal_H,raw,1056,-0.008700959211676889,-0.025515668023531977
SELECT,D_LONG,S,12,terminal_H,raw,1068,0.00824923926126079,0.0435506277140253
SELECT,D_LONG,S,12,terminal_H,raw,1080,-0.005087216497237091,-0.020631058602845326
SELECT,D_LONG,S,12,terminal_H,raw,1092,0.008468741368033663,0.04117995790398324
SELECT,D_LONG,S,12,terminal_H,raw,1104,0.01054362751510398,0.029673635897355617
SELECT,D_LONG,S,12,terminal_H,raw,1116,0.02063913580869889,0.06965075346049404
SELECT,D_LONG,S,12,terminal_H,raw,1128,0.012498634334140857,0.04397589245866237
SELECT,D_LONG,S,12,terminal_H,raw,1140,0.022289150447437036,0.07342143061207346
SELECT,D_LONG,S,12,terminal_H,raw,1152,0.012697428671387422,0.04413770063070392
SELECT,D_LONG,S,12,terminal_H,raw,1164,0.02116099874513104,0.07144813517857221
SELECT,D_LONG,S,12,terminal_H,raw,1176,0.015347081018307994,0.05485955589854976
SELECT,D_LONG,S,12,terminal_H,raw,1188,0.024363222713683644,0.08234504891780628
SELECT,D_LONG,S,12,terminal_H,raw,1200,0.017097092379475425,0.05162585360630229
SELECT,D_LONG,S,12,terminal_H,raw,1212,0.019905355565400927,0.05812948838160772
SELECT,D_LONG,S,12,path_1_to_H,raw,1056,0.0019023059847667293,0.01188869260001824
SELECT,D_LONG,S,12,path_1_to_H,raw,1068,0.0019022721098348112,0.012618298351281065
SELECT,D_LONG,S,12,path_1_to_H,raw,1080,0.0025619294802394464,0.013980354693903848
SELECT,D_LONG,S,12,path_1_to_H,raw,1092,0.002542004575529989,0.012803505921214722
SELECT,D_LONG,S,12,path_1_to_H,raw,1104,0.005159975344920405,0.023641725826690482
SELECT,D_LONG,S,12,path_1_to_H,raw,1116,0.00685843123024886,0.024497909685019165
SELECT,D_LONG,S,12,path_1_to_H,raw,1128,0.00653213365618647,0.027937021637895038
SELECT,D_LONG,S,12,path_1_to_H,raw,1140,0.007433349307550824,0.0251967150296668
SELECT,D_LONG,S,12,path_1_to_H,raw,1152,0.005926969291053436,0.02898557153902577
SELECT,D_LONG,S,12,path_1_to_H,raw,1164,0.007247437679401152,0.02569654169723064
SELECT,D_LONG,S,12,path_1_to_H,raw,1176,0.009401497370164621,0.03500738523017312
SELECT,D_LONG,S,12,path_1_to_H,raw,1188,0.007956155963975574,0.028516111281890726
SELECT,D_LONG,S,12,path_1_to_H,raw,1200,0.0074959158344785025,0.026396285640968745
SELECT,D_LONG,S,12,path_1_to_H,raw,1212,0.006217696768280123,0.020969988427990784
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1056,8.941897133370607e-05,0.0014348690023349938
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1068,0.0002994006150253728,0.0010605159344641377
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1080,0.00010789386890391215,0.0012188933480105416
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1092,0.0003567465012227662,0.0017402449919112011
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1104,0.00017292123915623307,0.0018106545959476303
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1116,0.00018525467719456503,0.0011958387851654516
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1128,0.00018174934252569925,0.001832541882179574
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1140,-0.00047558136713100554,-0.00044644461543424463
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1152,0.00048388814575866656,0.0014995724472257736
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1164,2.7459215625900374e-05,-1.829548523634998e-05
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1176,0.0001391067052322455,-8.894899061749347e-05
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1188,-5.3168452836036494e-05,-0.0005013144907485749
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1200,0.00045719656365303456,-0.0004189142730684167
SELECT,OD_LONG,O_LONG,3,terminal_H,raw,1212,-3.196853637051486e-05,0.00019135515061411798
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1056,0.00027802689141690634,0.0020594378178875566
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1068,0.00029761738064231906,0.0012039106678414957
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1080,0.0003170181714129393,0.0018489857169366368
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1092,0.00015372613990343904,0.0009107785458797073
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1104,-0.0001228746605417311,0.001346630189158616
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1116,0.0002983739491145179,0.0020783654066696975
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1128,0.0006606902450598019,0.0029649292421403384
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1140,-2.4982992359346338e-05,0.0002612534095377496
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1152,0.00022921598559260827,0.0012723002610112461
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1164,0.00015186460426950394,0.000684194425854482
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1176,0.0004094285589146617,0.0010479546304823482
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1188,6.1031923991637894e-05,0.0006129719380569325
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1200,0.00024752323291562606,-0.00021120244065840228
SELECT,OD_LONG,O_LONG,3,path_1_to_H,raw,1212,2.8280237858364366e-05,0.0001430989390123515
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1056,0.00029989297358530884,0.002267500043365278
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1068,0.00018531810325395732,-0.001235446027333132
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1080,5.2075318161605885e-05,0.000973204155822651
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1092,0.00018185716211609591,0.0016468137675890013
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1104,0.00023352816030474148,0.0017199481016613087
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1116,0.00012046915783135629,0.001046161020460403
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1128,2.062715348195286e-05,0.0011728797327638638
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1140,5.422467870009958e-05,0.00011222367742504839
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1152,0.00014893217794598185,0.0007762663675170791
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1164,-0.000152095395267189,-0.0014090935952606714
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1176,0.0006516693216975708,0.00232522594490144
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1188,2.231151796526314e-05,-0.0005398212315126702
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1200,-0.0003394510012330549,-4.206916512857993e-05
SELECT,OD_LONG,O_LONG,6,terminal_H,raw,1212,0.0012757358477311642,0.003002187031906266
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1056,0.0003720315013865421,0.0021779792724916786
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1068,0.00025434406038824333,0.0006273566884292379
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1080,0.00021388988307232984,0.0014693374259323836
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1092,0.0002952720698582807,0.0013673233953085365
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1104,3.3577994226171105e-05,0.0015395186726751382
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1116,0.0001801492972869773,0.001508225203071545
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1128,0.0004218012546762745,0.0024414543864129156
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1140,9.759176351368004e-06,0.00023140500687901468
