phase,dataset,series,K,scope,model_A,model_B,panel_start,independent_width,width_reduction,active_ambiguous_windows,components,mixed_sign_components,independent_bounds_provably_exact
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7746,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,7914,0.0918947048719706,5.551115123125783e-17,24,2,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,7914,0.0740959744548995,0.0186423525015506,24,2,1,False
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,7914,0.0432466420977864,0.0059211442234538,24,2,1,False
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,8082,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,8250,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,8418,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,logistic,8586,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,constant,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Guanyuan,24,fixed_panel,logistic,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,full_station,constant,logistic,6570,0.0037408263818723,0.000334612175496,21,1,1,False
initial,beijing,Gucheng,24,full_station,constant,hist_gradient_boosting,6570,0.0047701786401963,0.0033102898668116,21,1,1,False
initial,beijing,Gucheng,24,full_station,logistic,hist_gradient_boosting,6570,0.0024338315274643,0.0003404473026971,21,1,1,False
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,6570,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,6738,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,6906,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7074,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7746,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7746,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,7914,0.0559060053070169,0.0050007212710342,21,1,1,False
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,7914,0.0712894973331408,0.0494717113198694,21,1,1,False
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,7914,0.0363731925518298,0.0050879262409967,21,1,1,False
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,8082,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,8082,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,8250,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,8250,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,8418,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,logistic,hist_gradient_boosting,8418,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,logistic,8586,0.0,0.0,0,0,0,True
initial,beijing,Gucheng,24,fixed_panel,constant,hist_gradient_boosting,8586,0.0,0.0,0,0,0,True
