dataset,series,K,model,identified_windows,brier_on_identified,mean_prediction
beijing,Wanshouxigong,24,hist_gradient_boosting,2140,0.13349713306468491,0.7030004515781962
beijing,Aotizhongxin,72,constant,2119,0.04356021728255725,0.937136679788688
beijing,Aotizhongxin,72,logistic,2119,0.04077234694979209,0.9577834208931411
beijing,Aotizhongxin,72,hist_gradient_boosting,2119,0.06232265405211034,0.9341779411164784
beijing,Changping,72,constant,2119,0.0580007871670349,0.937136679788688
beijing,Changping,72,logistic,2119,0.06142947623513568,0.9196395132271206
beijing,Changping,72,hist_gradient_boosting,2119,0.07948003459421323,0.919969216720981
beijing,Dingling,72,constant,2118,0.14636176353138686,0.937136679788688
beijing,Dingling,72,logistic,2118,0.12405785163888222,0.8893749269500144
beijing,Dingling,72,hist_gradient_boosting,2118,0.1507487513232504,0.9055099112354124
beijing,Dongsi,72,constant,2119,0.043147629571572164,0.937136679788688
beijing,Dongsi,72,logistic,2119,0.03988213767702842,0.9514279696808328
beijing,Dongsi,72,hist_gradient_boosting,2119,0.06455385904461781,0.9226663278347692
beijing,Guanyuan,72,constant,2119,0.04397280499354233,0.937136679788688
beijing,Guanyuan,72,logistic,2119,0.04005887097474523,0.9445236090580923
beijing,Guanyuan,72,hist_gradient_boosting,2119,0.06385035652818556,0.9288722414821059
beijing,Gucheng,72,constant,2119,0.010965788114736254,0.937136679788688
beijing,Gucheng,72,logistic,2119,0.013578829369749896,0.9500743335102972
beijing,Gucheng,72,hist_gradient_boosting,2119,0.03746105156633668,0.9164619339451227
beijing,Huairou,72,constant,2076,0.06880637187139836,0.937136679788688
beijing,Huairou,72,logistic,2076,0.0669118880108604,0.9393797091252855
beijing,Huairou,72,hist_gradient_boosting,2076,0.07939903681161155,0.9448959293222604
beijing,Nongzhanguan,72,constant,2119,0.020867893178378075,0.937136679788688
beijing,Nongzhanguan,72,logistic,2119,0.02264474684280723,0.9499121537823889
beijing,Nongzhanguan,72,hist_gradient_boosting,2119,0.037754621660365674,0.938434404222401
beijing,Shunyi,72,constant,2119,0.08110569898219916,0.937136679788688
beijing,Shunyi,72,logistic,2119,0.07286260258299208,0.941350110581703
beijing,Shunyi,72,hist_gradient_boosting,2119,0.08627727601099086,0.9391712743457035
beijing,Tiantan,72,constant,2119,0.03860916475073634,0.937136679788688
beijing,Tiantan,72,logistic,2119,0.03486354716104804,0.9444265502498409
beijing,Tiantan,72,hist_gradient_boosting,2119,0.06137120610418338,0.9207315231528735
beijing,Wanliu,72,constant,2119,0.027881884265124363,0.937136679788688
beijing,Wanliu,72,logistic,2119,0.025762136139262853,0.9691495472515488
beijing,Wanliu,72,hist_gradient_boosting,2119,0.043972184092377894,0.9421393712132773
beijing,Wanshouxigong,72,constant,2119,0.031182585953004972,0.937136679788688
beijing,Wanshouxigong,72,logistic,2119,0.028692079215971465,0.9714223680925594
beijing,Wanshouxigong,72,hist_gradient_boosting,2119,0.05418369950813112,0.9288234828925667
household,household,60,constant,43141,0.1707376169294805,0.2935879816122458
household,household,60,logistic,43141,0.08995296461845255,0.207198777122773
household,household,60,hist_gradient_boosting,43141,0.08534813842649627,0.2044825463102307
household,household,180,constant,43021,0.241672014203828,0.47295949859930686
household,household,180,logistic,43021,0.15164125788878774,0.37019946769136136
household,household,180,hist_gradient_boosting,43021,0.11763074131159798,0.36808008166780476
