dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
beijing,Aotizhongxin,fixed_panel,natural,24,3,8082,constant,hist_gradient_boosting,145,0,0,0.08754216895285453,0.08754216895285453,0.08754216895285448,0.08754216895285448,64,0.00011369999265298247,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8082,logistic,hist_gradient_boosting,145,0,0,0.004233327782107397,0.004233327782107397,0.004233327782107376,0.004233327782107376,64,0.00010180000390391797,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8250,constant,logistic,145,3,0,0.09387406032093876,0.09387406032093876,0.09387406032093876,0.09387406032093876,64,9.419998968951404e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8250,constant,hist_gradient_boosting,145,3,0,0.10900115613379316,0.10900115613379316,0.10900115613379313,0.10900115613379313,64,9.099999442696571e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8250,logistic,hist_gradient_boosting,145,3,0,0.015127095812854392,0.015127095812854392,0.01512709581285438,0.01512709581285438,64,9.09000082174316e-05,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8418,constant,logistic,145,1,0,-0.024838218539741726,-0.024838218539741726,-0.02483821853974175,-0.02483821853974175,64,0.00010489999840501696,,,0.0,0.0,0.0,0.0,A,A,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8418,constant,hist_gradient_boosting,145,1,0,-0.12277613265103698,-0.12277613265103698,-0.12277613265103704,-0.12277613265103704,64,9.790000331122428e-05,,,0.0,0.0,0.0,0.0,A,A,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8418,logistic,hist_gradient_boosting,145,1,0,-0.0979379141112953,-0.0979379141112953,-0.09793791411129533,-0.09793791411129533,64,9.729999874252826e-05,,,0.0,0.0,0.0,0.0,A,A,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8586,constant,logistic,145,16,0,0.11425822418095008,0.11425822418095008,0.11425822418095008,0.11425822418095008,64,0.00010909998673014343,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8586,constant,hist_gradient_boosting,145,16,0,0.08936153617606542,0.08936153617606542,0.08936153617606536,0.08936153617606536,64,0.0001551000023027882,,,0.0,0.0,0.0,0.0,B,B,False
beijing,Aotizhongxin,fixed_panel,natural,24,3,8586,logistic,hist_gradient_boosting,145,16,0,-0.024896688004884662,-0.024896688004884662,-0.024896688004884763,-0.024896688004884763,64,0.00010140000085812062,,,0.0,0.0,0.0,0.0,A,A,False
beijing,Aotizhongxin,artificial,iid_10,24,3,7025,constant,logistic,834,75,35,0.043587739312997545,0.0530272040746739,0.04527534182676487,0.05155623490897187,64,0.00037910000537522137,0.045275341826765056,True,0.009439464761676356,0.006280893082207001,0.0031585716794693547,0.334613429809385,B,B,False
beijing,Aotizhongxin,artificial,iid_10,24,3,7025,constant,hist_gradient_boosting,834,75,35,0.035236817600454294,0.05771199790382875,0.03653047460072111,0.05647303382160629,64,0.0002508999896235764,0.03653047460072101,True,0.022475180303374455,0.019942559220885177,0.002532621082489278,0.1126852398202575,B,B,False
beijing,Aotizhongxin,artificial,iid_10,24,3,7025,logistic,hist_gradient_boosting,834,75,35,-0.009361258356147768,0.005695130472759388,-0.008848192370799375,0.005402600673765164,64,0.0002590999938547611,-0.008744867226044051,True,0.015056388828907155,0.014250793044564539,0.0008055957843426161,0.053505245746306156,UNRESOLVED,UNRESOLVED,False
