phase,dataset,K,scope,mask,has_ambiguity,has_tightening,independent_undirected,series,origin_start,time_start,quarter,cluster,L,model_A,model_B,N,support_records,missing_records,ambiguous_windows,independent_lower,independent_upper,pairwise_lower,pairwise_upper,joint_lower,joint_upper,joint_enclosure_lower,joint_enclosure_upper,numeric_method,Gamma_minus,Gamma_plus,W_ind,ambiguous_weight,lower_zero_margin,upper_zero_margin,mixed_components,implications,lp_variables,lp_constraints,pair_preprocess_seconds,pair_solve_seconds,pair_status,joint_seconds,independent_direction,pairwise_direction,joint_direction,pairwise_new,joint_new,higher_order_new,category,truth_delta,truth_contained,locf_delta,locf_wrong,identified_delta,identified_wrong
AP0,beijing,24,fixed_panel,natural,True,False,False,Dingling,8082,2014-01-31 18:00:00,2014Q1,beijing_2014-01-31T18:00:00,3,constant,hist_gradient_boosting,145,168,24,5,0.0954722680684052,0.1125964950069791,0.0954722680683852,0.1125964950069991,0.0954722680684051,0.112596495006979,0.0954722680680867,0.1125964950072975,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0171242269385738,0.0171242269385738,-0.0954722680684052,0.1125964950069791,0,0,5,0,5.419999069999904e-05,1.449999399483204e-05,ANALYTIC,0.0001045000099111,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP0,beijing,72,fixed_panel,natural,True,False,False,Dingling,8250,2014-02-07 18:00:00,2014Q1,beijing_2014-02-07T18:00:00,3,constant,hist_gradient_boosting,97,168,4,1,0.000751856739883,0.0013958069349224,0.000751856739863,0.0013958069349424,0.000751856739883,0.0013958069349224,0.0007518567395646,0.0013958069352409,FLOAT_OUTWARD,0.0,1.3251118952117837e-15,0.0006439501950394,0.0006439501950394,-0.000751856739883,0.0013958069349224,0,0,1,0,4.339999577496201e-05,1.2999997125007212e-05,ANALYTIC,0.000106899999082,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP0,household,60,full_station,natural,False,False,False,household,86400,2007-02-14 17:24:00,2007Q1,household_2007-02-14T17:24:00,5,constant,hist_gradient_boosting,43141,43200,2,0,0.0853894785029842,0.0853894785029842,0.0853894785029642,0.0853894785030042,0.0853894785029857,0.0853894785029857,0.0853894784262271,0.0853894785797444,FLOAT_OUTWARD,6.765328575131235e-11,0.0,0.0,0.0,-0.0853894785029842,0.0853894785029842,0,0,0,0,0.0001541999954497,0.0001699999993434,ANALYTIC,0.0105647000018507,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,household,180,full_station,natural,False,False,False,household,86400,2007-02-14 17:24:00,2007Q1,household_2007-02-14T17:24:00,5,constant,hist_gradient_boosting,43021,43200,2,0,0.1240412728922299,0.1240412728922299,0.1240412728922099,0.1240412728922499,0.1240412728922317,0.1240412728922317,0.124041272815473,0.1240412729689903,FLOAT_OUTWARD,7.462953865999822e-11,0.0,0.0,0.0,-0.1240412728922299,0.1240412728922299,0,0,0,0,0.0001896000030683,0.0001533000031486,ANALYTIC,0.0259576000098604,B,B,B,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0_EXTENSION,household,60,fixed_panel,natural,True,False,False,household,192960,2007-04-29 17:24:00,2007Q2,household_2007-04-29T17:24:00,5,logistic,hist_gradient_boosting,10021,10080,1260,1256,-0.0144503824649935,-0.0133564645201004,-0.0144503824650135,-0.0133564645200804,-0.0144503824649935,-0.0133564645201005,-0.0144503824829191,-0.0133564645021748,FLOAT_OUTWARD,3.4767327905527174e-14,3.9982427091356243e-13,0.001093917944893,0.001093917944893,0.0144503824649935,-0.0133564645201004,0,1540,111,282,0.0008746000094106,5.499999679159373e-05,ANALYTIC,0.0036565000045811,A,A,A,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP0_EXTENSION,household,180,fixed_panel,natural,True,False,False,household,192960,2007-04-29 17:24:00,2007Q2,household_2007-04-29T17:24:00,5,logistic,hist_gradient_boosting,9901,10080,1260,1256,-0.0136492798804552,-0.0120152698361428,-0.0136492798804752,-0.0120152698361228,-0.0136492798804552,-0.0120152698361428,-0.0136492798983808,-0.0120152698182171,FLOAT_OUTWARD,0.0,0.0,0.0016340100443123,0.0016340100443123,0.0136492798804552,-0.0120152698361428,0,15400,351,1054,0.0017701000033412,5.919999966863543e-05,ANALYTIC,0.0087364999926649,A,A,A,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,beijing,24,annual,natural,True,True,False,Aotizhongxin,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,3,constant,hist_gradient_boosting,8737,8760,493,453,0.0551567423463076,0.0752348586212936,0.0552413477853017,0.0752348586213136,0.0552413477853212,0.0752348586212946,0.0552413477697403,0.0752348586368754,FLOAT_OUTWARD,0.7391977206619251,0.0,0.0200781162749859,0.0200781162749859,-0.0551567423463076,0.0752348586212936,1,1233,175,589,0.0251710000011371,0.0097630999953253,OPTIMAL_DUAL_OUTWARD,0.0015188000106718,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,beijing,72,annual,natural,True,True,False,Changping,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,3,constant,hist_gradient_boosting,8689,8760,263,129,0.0093483100446392,0.010792493128087,0.0095647644211916,0.0107536393534932,0.0095647644212116,0.0107536393534732,0.0095647644056307,0.0107536393690541,FLOAT_OUTWARD,1.8807720780378665,0.3376004476191754,0.0014441830834478,0.0014441830834478,-0.0093483100446392,0.010792493128087,1,2600,217,523,0.0009231000003637,0.0081361000047763,OPTIMAL_DUAL_OUTWARD,0.001987800002098,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP1,household,60,artificial,blocks_10,True,True,False,household,667919,2008-03-24 13:23:00,2008Q1,household_2008-03-24T13:23:00,5,logistic,hist_gradient_boosting,4037,4096,369,1097,0.0019448411076687,0.1379758302912778,0.019986582208503,0.1356059784050016,0.019986582208523,0.1354172339346177,0.0199865822012271,0.1354172339419137,FLOAT_OUTWARD,72.83450882414897,10.329053491836882,0.1360309891836091,0.1360309891836091,-0.0019448411076687,0.1379758302912778,15,44898,2193,9659,0.0121477999928174,0.0911827999952947,OPTIMAL_DUAL_OUTWARD,0.0012202000070828,B,B,B,False,False,False,INDEPENDENT_ALREADY_DIRECTED,0.0906340822420237,True,0.0887246795102826,False,0.0786074416007816,False
AP1,household,180,artificial,blocks_10,True,False,True,household,667919,2008-03-24 13:23:00,2008Q1,household_2008-03-24T13:23:00,5,constant,hist_gradient_boosting,3917,4096,405,880,-0.0481090381234419,0.1050383598859934,-0.0481090381234619,0.1050383598860134,-0.0481090381234414,0.105038359885994,-0.0481090381307374,0.1050383598932899,FLOAT_OUTWARD,1.821036377247509e-12,0.0,0.1531473980094354,0.1531473980094354,0.0481090381234419,0.1050383598859934,1,84828,1681,8912,0.0101758000091649,0.077352599997539,OPTIMAL_DUAL_OUTWARD,0.0029009999998379,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False,False,JOINT_OPPOSITE_POSSIBLE,0.0297188436588081,True,0.0297188436588081,False,0.072523215385301,False
AP0,beijing,24,fixed_panel,natural,True,False,True,Dingling,7914,2014-01-24 18:00:00,2014Q1,beijing_2014-01-24T18:00:00,3,constant,hist_gradient_boosting,145,168,4,23,-0.0823309133058364,0.0066609836634183,-0.0823309133058564,0.0066609836634383,-0.0823309133058363,0.0066609836634183,-0.0823309133061548,0.0066609836637367,FLOAT_OUTWARD,4.024558464266193e-15,0.0,0.0889918969692547,0.0889918969692547,0.0823309133058364,0.0066609836634183,0,462,45,226,0.0004713999951491,2.1700005163438615e-05,ANALYTIC,9.950000094249845e-05,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP0,beijing,72,fixed_panel,natural,True,True,True,Huairou,6906,2013-12-13 18:00:00,2013Q4,beijing_2013-12-13T18:00:00,3,constant,hist_gradient_boosting,97,168,26,15,-0.0134130130950268,0.0469143412167782,-0.0134130130950468,0.0463625355323031,-0.0134130130950268,0.0463625355322831,-0.0134130130953452,0.0463625355326015,FLOAT_OUTWARD,0.0,0.0535251513960282,0.060327354311805,0.060327354311805,0.0134130130950268,0.0469143412167782,1,133,29,68,0.0003174000012222,0.0033285999961663,OPTIMAL_DUAL_OUTWARD,0.0001230000052601,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP0_EXTENSION,household,60,fixed_panel,natural,True,False,True,household,182880,2007-04-22 17:24:00,2007Q2,household_2007-04-22T17:24:00,5,constant,logistic,10021,10080,2463,2459,-0.072519686905891,0.056515233167561,-0.072519686905911,0.056515233167581,-0.0725196869058869,0.056515233167561,-0.0725196869238126,0.0565152331854867,FLOAT_OUTWARD,4.074730830527784e-11,0.0,0.129034920073452,0.129034920073452,0.072519686905891,0.056515233167561,0,1540,111,266,0.0012051999947289,6.27999979769811e-05,ANALYTIC,0.004316699996707,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP1,beijing,72,annual,natural,True,True,True,Aotizhongxin,8760,2014-03-01 00:00:00,2014Q1,beijing_2014-03-01T00:00:00,3,constant,hist_gradient_boosting,8689,8760,493,353,-0.0015830729963741,0.0015333831983482,-0.0015388123268961,0.0014435808992969,-0.0014145596583965,0.0014435808992768,-0.0014145596739774,0.0014435809148577,FLOAT_OUTWARD,1.4642123936875475,0.78029217663078,0.0031164561947223,0.0031164561947223,0.0015830729963741,0.0015333831983482,1,1120,161,484,0.0013406999933067,0.0092090999969514,OPTIMAL_DUAL_OUTWARD,0.0026398999907542,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
