phase,dataset,series,K,scope,mask,origin_start,model_A,model_B,endpoint,Gamma,core_size,size_lower_bound,kind,window_indices
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,logistic,hist_gradient_boosting,lower,8.83407930141189e-16,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7578,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,constant,logistic,upper,1.3461454173580025e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,constant,hist_gradient_boosting,upper,2.019218126037004e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,logistic,hist_gradient_boosting,lower,1.6826817716975029e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7746,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,constant,logistic,upper,8.83407930141189e-16,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,7914,logistic,hist_gradient_boosting,upper,1.6826817716975029e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,constant,hist_gradient_boosting,upper,1.5985476831126277e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8082,logistic,hist_gradient_boosting,upper,3.533631720564756e-15,0,0,NUMERIC_ZERO,
