dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,origin_week,natural,Changping,17160,1.6000005416572094e-05,5.320001218933612e-05,0.00046809999912490003,6.920001760590822e-05
beijing,24,origin_week,natural,Changping,17328,1.479999627918005e-05,4.5199994929134846e-05,0.00038189998303990344,5.9999991208314896e-05
beijing,24,origin_week,natural,Changping,17496,1.3900003978051244e-05,3.3899996196851134e-05,0.00022560001525562257,4.780000017490238e-05
beijing,24,origin_week,natural,Dingling,8760,2.089999907184392e-05,4.029998672194779e-05,0.0003296999930171201,6.119998579379171e-05
beijing,24,origin_week,natural,Dingling,8928,1.4800010831095278e-05,3.720000677276403e-05,0.00029029999859624036,5.2000017603859305e-05
beijing,24,origin_week,natural,Dingling,9096,1.3800003216601908e-05,3.6299985367804766e-05,0.0002663999766809866,5.0099988584406674e-05
beijing,24,origin_week,natural,Dingling,9264,1.4199991710484028e-05,3.599999763537198e-05,0.000269199998001568,5.019998934585601e-05
beijing,24,origin_week,natural,Dingling,9432,1.340000017080456e-05,3.540000761859119e-05,0.0002634000120451674,4.880000778939575e-05
beijing,24,origin_week,natural,Dingling,9600,3.199999628122896e-05,3.770001058001071e-05,0.0002766999969026074,6.970000686123967e-05
beijing,24,origin_week,natural,Dingling,9768,1.340000017080456e-05,3.6299999919719994e-05,0.0002693000133149326,4.9700000090524554e-05
beijing,24,origin_week,natural,Dingling,9936,1.2900010915473104e-05,3.5599994589574635e-05,0.00026870000874623656,4.850000550504774e-05
beijing,24,origin_week,natural,Dingling,10104,0.0002582999877631,0.0099041000066789,0.0003531999827827,0.010162399994442
beijing,24,origin_week,natural,Dingling,10272,1.8999999156221747e-05,3.860000288113952e-05,0.0003068000078200649,5.7600002037361264e-05
beijing,24,origin_week,natural,Dingling,10440,1.4899997040629389e-05,3.6699988413602114e-05,0.00027850001060865793,5.15999854542315e-05
beijing,24,origin_week,natural,Dingling,10608,1.449999399483204e-05,3.649998689070344e-05,0.0002724000078160316,5.099998088553548e-05
beijing,24,origin_week,natural,Dingling,10776,1.3199998647905886e-05,4.5500011765398085e-05,0.00027220002084504813,5.870001041330397e-05
beijing,24,origin_week,natural,Dingling,10944,0.0002440999960526,0.003298600000562113,0.0002946000022347102,0.003542699996614713
beijing,24,origin_week,natural,Dingling,11112,0.0003468999930191,0.004963700004736862,0.00030470000638159364,0.005310599997755962
beijing,24,origin_week,natural,Dingling,11280,1.819999306462705e-05,3.850000211969018e-05,0.00031609999132335096,5.669999518431723e-05
beijing,24,origin_week,natural,Dingling,11448,0.0005091000057291,0.010908900003414468,0.00037050001265006834,0.011418000009143567
beijing,24,origin_week,natural,Dingling,11616,2.5300003471784294e-05,3.979999746661633e-05,0.00033550000807723324,6.510000093840063e-05
beijing,24,origin_week,natural,Dingling,11784,1.5700003132224083e-05,3.770001058001071e-05,0.0002892999909817794,5.3400013712234795e-05
