phase,dataset,series,K,scope,mask,origin_start,extent,status,N,constraint_rows,variables,model_A,model_B,seconds,max_abs_error,message,planned_full_constraint_rows,planned_full_variables
AP0_EXTENSION,household,household,180,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,hist_gradient_boosting,0.8433343999931822,1.7763568394002505e-15,,1812933,30057
AP0_EXTENSION,household,household,180,fixed_panel,natural,192960,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,logistic,hist_gradient_boosting,0.9453369999973802,2.4286128663675302e-17,,1812933,30057
AP1,beijing,Aotizhongxin,24,annual,natural,8760,FULL_PANEL,OPTIMAL_MATCH,8737,235983,26255,constant,logistic,4.4797456999949645,4.424118670636311e-16,,235983,26255
AP1,beijing,Aotizhongxin,24,annual,natural,8760,FULL_PANEL,OPTIMAL_MATCH,8737,235983,26255,constant,hist_gradient_boosting,5.4483539999928325,9.889206440245873e-16,,235983,26255
AP1,beijing,Aotizhongxin,24,annual,natural,8760,FULL_PANEL,OPTIMAL_MATCH,8737,235983,26255,logistic,hist_gradient_boosting,4.915512499996112,6.50605686858281e-17,,235983,26255
AP1,beijing,Changping,72,annual,natural,8760,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,8689,651951,26207,,,0.0,,Not attempted; no OOM or runtime inferred,651951,26207
AP1,beijing,Changping,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,constant,logistic,0.0757786000031046,1.3877787807814457e-17,,651951,26207
AP1,beijing,Changping,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,constant,hist_gradient_boosting,0.0649988000077428,2.775557561562892e-17,,651951,26207
AP1,beijing,Changping,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,logistic,hist_gradient_boosting,0.1379790999926626,1.249000902703301e-16,,651951,26207
AP1,household,household,60,artificial,blocks_10,667919,FULL_PANEL,OPTIMAL_MATCH,4037,254661,12225,constant,logistic,6.680696399998851,9.856426356840628e-17,,254661,12225
AP1,household,household,60,artificial,blocks_10,667919,FULL_PANEL,OPTIMAL_MATCH,4037,254661,12225,constant,hist_gradient_boosting,7.820024500004365,7.040304540600446e-17,,254661,12225
AP1,household,household,60,artificial,blocks_10,667919,FULL_PANEL,OPTIMAL_MATCH,4037,254661,12225,logistic,hist_gradient_boosting,5.072491800005082,8.448365448720537e-17,,254661,12225
AP1,household,household,180,artificial,blocks_10,667919,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,3917,717861,12105,,,0.0,,Not attempted; no OOM or runtime inferred,717861,12105
AP1,household,household,180,artificial,blocks_10,667919,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,logistic,0.1992270999908214,1.1102230246251563e-16,,717861,12105
AP1,household,household,180,artificial,blocks_10,667919,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,hist_gradient_boosting,0.1610438999923644,0.0,,717861,12105
AP1,household,household,180,artificial,blocks_10,667919,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,logistic,hist_gradient_boosting,0.2392189999955007,5.551115123125783e-17,,717861,12105
AP0,beijing,Dingling,24,fixed_panel,natural,7914,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,constant,logistic,0.0317685000045457,4.9002947293800006e-17,,3999,479
AP0,beijing,Dingling,24,fixed_panel,natural,7914,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,constant,hist_gradient_boosting,0.0391129999916302,2.450147364690001e-17,,3999,479
AP0,beijing,Dingling,24,fixed_panel,natural,7914,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,logistic,hist_gradient_boosting,0.1032700999930966,1.8376105235175005e-17,,3999,479
AP0,beijing,Huairou,72,fixed_panel,natural,6906,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,constant,logistic,0.0678722000011475,0.0,,7551,431
AP0,beijing,Huairou,72,fixed_panel,natural,6906,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,constant,hist_gradient_boosting,0.0698382999980822,1.1445598192011922e-17,,7551,431
AP0,beijing,Huairou,72,fixed_panel,natural,6906,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,logistic,hist_gradient_boosting,0.0602465000119991,9.156478553609538e-18,,7551,431
AP0_EXTENSION,household,household,60,fixed_panel,natural,182880,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,10021,631653,30177,,,0.0,,Not attempted; no OOM or runtime inferred,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,182880,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,logistic,0.1221199999999953,0.0,,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,182880,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,hist_gradient_boosting,0.0557964999898104,0.0,,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,182880,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,logistic,hist_gradient_boosting,0.0527371000061975,1.3877787807814457e-17,,631653,30177
AP1,beijing,Aotizhongxin,72,annual,natural,8760,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,8689,651951,26207,,,0.0,,Not attempted; no OOM or runtime inferred,651951,26207
AP1,beijing,Aotizhongxin,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,constant,logistic,0.1400569999968866,0.0,,651951,26207
AP1,beijing,Aotizhongxin,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,constant,hist_gradient_boosting,0.0672690999926999,0.0,,651951,26207
AP1,beijing,Aotizhongxin,72,annual,natural,8760,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,9876,524,logistic,hist_gradient_boosting,0.1399827000132063,1.3877787807814457e-17,,651951,26207
