T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
32768,24,1,blocks30,0.26422119140625,0.0030359999946085,0.0030689999985042,0.0055434999958379,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.0030718999914824225,0.0087244000023928
32768,24,1,natural_power,0.003997802734375,0.0028102000069338,0.0027730000001611,0.0050005999946733,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.0028461000038077226,0.0084284000040497
2048,24,3,iid30,0.31103515625,0.0004203999997116,0.0003923000040231,0.0009074999979929,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.000510500001837437,0.0135399999999208
2048,24,3,blocks30,0.267578125,0.0004728000058094,0.0003192000003764,0.0006217999907676,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.000562900007935237,0.0134668999962741
2048,24,3,natural_power,0.0,0.0002130000066244,0.0002120999997714,0.0005711999983759,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.0003031000087502369,0.0133597999956691
32768,24,3,iid30,0.30206298828125,0.0058056999987456,0.0056742000015219,0.009957399990526,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.005895800000871437,0.0188218999974196
32768,24,3,blocks30,0.261932373046875,0.0047058000054676,0.004581600005622,0.0096514000033494,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.004795900007593437,0.0177293000015197
32768,24,3,natural_power,0.003997802734375,0.0032429999992018,0.0032625000021653,0.0084535999922081,,NOT_RUN_K_GT_16,COMPLETE,0.0,2048,1088,9.010000212583692e-05,0.0131476999958977,0.003333100001327637,0.016410199998063
2048,24,5,iid30,0.28857421875,0.0003443000023253,0.0003156999882776,0.0008054000063566,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0004630000039469,0.0141471999959321
2048,24,5,blocks30,0.25634765625,0.0003445000038482,0.0003283999976702,0.0007794000121066,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0004632000054698,0.0141599000053247
2048,24,5,natural_power,0.0,0.000235600004089,0.0002227000077255,0.0006996000010985,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0003543000057106,0.01405420001538
32768,24,5,iid30,0.302734375,0.0053848999959882,0.0054240000026766,0.0126096000021789,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0055035999976098,0.0192555000103311
32768,24,5,blocks30,0.265899658203125,0.0056349999940721,0.0068731000064872,0.0124857000046176,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0057536999956936995,0.0207046000141417
32768,24,5,natural_power,0.003997802734375,0.003611300009652,0.0037920999893685,0.0113128000084543,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.0001187000016216,0.0138315000076545,0.0037300000112736,0.017623599997023
2048,24,12,iid30,0.29931640625,0.0002788999991025,0.0002695000002859,0.0008188999927369,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.0003891000087605,0.0086137000034795
2048,24,12,blocks30,0.2626953125,0.0002710000117076,0.0002686000079847,0.0007893000001786,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.0003812000213656,0.0086128000111783
2048,24,12,natural_power,0.0,0.0002393000031588,0.0002357000048505,0.0007241999992402,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.0003495000128168,0.0085799000080441
32768,24,12,iid30,0.294403076171875,0.0044689000060316,0.0051099999982398,0.0133714999974472,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.0045791000156896,0.0134542000014334
32768,24,12,blocks30,0.266204833984375,0.0054579999996349,0.0049683000106597,0.0156683999957749,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.0055682000092928995,0.013312500013853298
32768,24,12,natural_power,0.003997802734375,0.004301499997382,0.0047614000068278,0.0137744000094244,,NOT_RUN_K_GT_16,COMPLETE,0.0,2912,1547,0.000110200009658,0.0083442000031936,0.00441170000704,0.013105600010021399
2048,24,24,iid30,0.30322265625,0.0002737000031629,0.000221700000111,0.0004425000079208,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.0003223999956389312,0.0006708000000797999
2048,24,24,blocks30,0.2705078125,0.0002218000008724,0.000234699997236,0.0004286999901523,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.0002704999933484312,0.0006837999972048
2048,24,24,natural_power,0.0,0.0001901000068755,0.000204100011615,0.0003457999991951,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.00023879999935153118,0.0006532000115837999
32768,24,24,iid30,0.29638671875,0.0039296000031754,0.003812699986156,0.0066099999967264,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.003978299995651431,0.0042617999861248
32768,24,24,blocks30,0.26544189453125,0.0036966000043321,0.0037389999924926,0.0068192999897291,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.0037452999968081314,0.0041880999924614
32768,24,24,natural_power,0.003997802734375,0.0035372999991523,0.0034379999997327,0.0063460000092163,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,4.8699992476031184e-05,0.0004490999999688,0.003585999991628331,0.0038870999997015
2048,72,1,iid30,0.31103515625,0.0002743000077316,0.0003203999949619,0.0008978999976534,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.0003692000027512594,0.0582897999993292
2048,72,1,blocks30,0.2490234375,0.000324399996316,0.0002840000088326,0.0009050999942701,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.0004192999913356594,0.0582534000131999
2048,72,1,natural_power,0.0,0.000270200005616,0.0002760999923339,0.0007350000087171,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.0003651000006356594,0.0582454999967012
32768,72,1,iid30,0.301025390625,0.0048896999942371,0.0042781000083778,0.0137544999888632,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.004984599989256759,0.0622475000127451
