phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,model_A,model_B,N,support_records,missing_records,ambiguous_windows,independent_lower,independent_upper,pairwise_lower,pairwise_upper,joint_lower,joint_upper,joint_enclosure_lower,joint_enclosure_upper,numeric_method,Gamma_minus,Gamma_plus,W_ind,ambiguous_weight,lower_zero_margin,upper_zero_margin,mixed_components,implications,lp_variables,lp_constraints,pair_preprocess_seconds,pair_solve_seconds,pair_status,joint_seconds,independent_direction,pairwise_direction,joint_direction,independent_undirected,pairwise_new,joint_new,higher_order_new,category,truth_delta,truth_contained,locf_delta,locf_wrong,identified_delta,identified_wrong
AP0,beijing,Aotizhongxin,fixed_panel,natural,8250,2014-02-07 18:00:00,2014Q1,beijing_2014-02-07T18:00:00,24,3,constant,logistic,145,168,3,0,0.09387406032093876,0.09387406032093876,0.09387406032091877,0.09387406032095875,0.09387406032093876,0.09387406032093876,0.09387406032062033,0.09387406032125718,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,-0.09387406032093876,0.09387406032093876,0,0,0,0,2.1100000594742596e-05,1.3800003216601908e-05,ANALYTIC,0.00011890000314451754,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8250,2014-02-07 18:00:00,2014Q1,beijing_2014-02-07T18:00:00,24,3,constant,hist_gradient_boosting,145,168,3,0,0.10900115613379316,0.10900115613379316,0.10900115613377316,0.10900115613381316,0.10900115613379313,0.10900115613379313,0.1090011561334747,0.10900115613411156,FLOAT_OUTWARD,0.0,4.0245584642661925e-15,0.0,0.0,-0.10900115613379316,0.10900115613379316,0,0,0,0,2.1100000594742596e-05,1.2499993317760527e-05,ANALYTIC,9.180000051856041e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8250,2014-02-07 18:00:00,2014Q1,beijing_2014-02-07T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,3,0,0.015127095812854392,0.015127095812854392,0.0151270958128344,0.015127095812874391,0.01512709581285438,0.01512709581285438,0.015127095812535952,0.015127095813172807,FLOAT_OUTWARD,0.0,1.7607443281164592e-15,0.0,0.0,-0.015127095812854392,0.015127095812854392,0,0,0,0,2.1100000594742596e-05,1.4999997802078724e-05,ANALYTIC,0.00014840000949334353,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8418,2014-02-14 18:00:00,2014Q1,beijing_2014-02-14T18:00:00,24,3,constant,logistic,145,168,1,0,-0.024838218539741726,-0.024838218539741726,-0.024838218539761727,-0.02483821853972175,-0.02483821853974175,-0.02483821853974175,-0.02483821854006018,-0.02483821853942332,FLOAT_OUTWARD,0.0,3.5214886562329184e-15,0.0,0.0,0.024838218539741726,-0.024838218539741726,0,0,0,0,2.2599997464567423e-05,1.3999990187585354e-05,ANALYTIC,0.00014279999595601112,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8418,2014-02-14 18:00:00,2014Q1,beijing_2014-02-14T18:00:00,24,3,constant,hist_gradient_boosting,145,168,1,0,-0.12277613265103698,-0.12277613265103698,-0.12277613265105698,-0.12277613265101701,-0.12277613265103704,-0.12277613265103704,-0.12277613265135547,-0.12277613265071861,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0,0.0,0.12277613265103698,-0.12277613265103698,0,0,0,0,2.2599997464567423e-05,1.2499993317760527e-05,ANALYTIC,9.43000050028786e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8418,2014-02-14 18:00:00,2014Q1,beijing_2014-02-14T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,1,0,-0.0979379141112953,-0.0979379141112953,-0.09793791411131529,-0.09793791411127531,-0.09793791411129533,-0.09793791411129533,-0.09793791411161376,-0.09793791411097691,FLOAT_OUTWARD,0.0,6.036837696399289e-15,0.0,0.0,0.0979379141112953,-0.0979379141112953,0,0,0,0,2.2599997464567423e-05,1.2200005585327744e-05,ANALYTIC,8.339999476447701e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8586,2014-02-21 18:00:00,2014Q1,beijing_2014-02-21T18:00:00,24,3,constant,logistic,145,168,16,0,0.11425822418095008,0.11425822418095008,0.1142582241809301,0.11425822418097008,0.11425822418095008,0.11425822418095008,0.11425822418063165,0.1142582241812685,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,-0.11425822418095008,0.11425822418095008,0,0,0,0,2.0799998310394585e-05,1.3900003978051245e-05,ANALYTIC,0.0001213000068673864,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8586,2014-02-21 18:00:00,2014Q1,beijing_2014-02-21T18:00:00,24,3,constant,hist_gradient_boosting,145,168,16,0,0.08936153617606542,0.08936153617606542,0.08936153617604543,0.08936153617608542,0.08936153617606536,0.08936153617606536,0.08936153617574694,0.08936153617638379,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0,0.0,-0.08936153617606542,0.08936153617606542,0,0,0,0,2.0799998310394585e-05,1.270000939257443e-05,ANALYTIC,9.200000204145908e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8586,2014-02-21 18:00:00,2014Q1,beijing_2014-02-21T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,16,0,-0.024896688004884662,-0.024896688004884662,-0.024896688004904664,-0.024896688004864668,-0.024896688004884763,-0.024896688004884763,-0.024896688005203192,-0.024896688004566334,FLOAT_OUTWARD,0.0,1.4589024432964948e-14,0.0,0.0,0.024896688004884662,-0.024896688004884662,0,0,0,0,2.0799998310394585e-05,1.2100004823878407e-05,ANALYTIC,8.38999985717237e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,72,3,constant,logistic,97,168,0,0,0.0019358285271249436,0.0019358285271249436,0.0019358285271049436,0.0019358285271449402,0.0019358285271249619,0.0019358285271249619,0.0019358285268065338,0.0019358285274433899,FLOAT_OUTWARD,1.766815860282378e-15,0.0,0.0,0.0,-0.0019358285271249436,0.0019358285271249436,0,0,0,0,2.61999957729131e-05,1.4600009308196604e-05,ANALYTIC,0.0009279999940190464,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
