stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae,alignment_A,correction_energy_B,mse_gain_G,identity_error,zero_correction
MECH_FIXED40,FIXED_SEPARABLE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.12137384758655294,0.06865340262313029,0.0004090543732138689,0.0008381650882713304,-2.005634184359235e-05,3.2187251995663413e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260915,9,AVAILABLE,terminal_H,raw,3850,0.09021675226095928,0.061716088706668414,0.0008228762007413639,0.001117219523733285,0.000528532877749443,2.168404344971009e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260915,12,AVAILABLE,terminal_H,raw,3850,0.10380465158911549,0.07038866218871812,0.0009629355865277966,0.0012534397534739263,0.0006724314195816673,3.2526065174565133e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260916,3,AVAILABLE,terminal_H,raw,3850,0.08429225334039743,0.05548510290422897,0.0003388664472060443,0.0005856063023229294,9.21265920891594e-05,2.439454888092385e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260916,6,AVAILABLE,terminal_H,raw,3850,0.12160822047156648,0.06885265194575121,0.00044031788196794325,0.0009576405140768175,-7.700475014093061e-05,4.0657581468206416e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260916,9,AVAILABLE,terminal_H,raw,3850,0.09132639337597706,0.06260678460641333,0.0007121642874225831,0.0010972434356441264,0.0003270851392010397,5.421010862427522e-20,False
MECH_FIXED40,FIXED_SEPARABLE,20260916,12,AVAILABLE,terminal_H,raw,3850,0.1044590100032155,0.07025920793719258,0.0009565379460514578,0.0013769235518354666,0.0005361523402674489,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260917,3,AVAILABLE,terminal_H,raw,3850,0.08338850574127739,0.05483804724787594,0.0004221112721898539,0.0006005548688518592,0.00024366767552784857,8.131516293641283e-20,False
MECH_FIXED40,FIXED_SEPARABLE,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11966501238013037,0.06769830797269996,0.0006276432589221048,0.0008634471696607712,0.00039183934818343857,1.6263032587282567e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260917,9,AVAILABLE,terminal_H,raw,3850,0.09035655439106198,0.061841977446447725,0.0007931765276325886,0.0010830647104253742,0.0005032883448398033,3.2526065174565133e-19,False
MECH_FIXED40,FIXED_SEPARABLE,20260917,12,AVAILABLE,terminal_H,raw,3850,0.10457773237702826,0.07082971384642166,0.0009282395334707968,0.0013451440649436149,0.0005113350019979783,4.336808689942018e-19,False
MECH_FIXED40,FIXED_CONCAT,20260915,3,AVAILABLE,terminal_H,raw,3850,0.08305051866906074,0.05432701715119042,0.0004086034400201669,0.0005172849659494404,0.00029992191409089345,0.0,False
MECH_FIXED40,FIXED_CONCAT,20260915,6,AVAILABLE,terminal_H,raw,3850,0.12161167196350112,0.06866903240383102,0.00040494288790432286,0.0008877299974466587,-7.784422163801272e-05,2.168404344971009e-19,False
MECH_FIXED40,FIXED_CONCAT,20260915,9,AVAILABLE,terminal_H,raw,3850,0.08955202780936224,0.06128735320469398,0.0009082049249625524,0.0011683802684291484,0.0006480295814959569,4.336808689942018e-19,False
MECH_FIXED40,FIXED_CONCAT,20260915,12,AVAILABLE,terminal_H,raw,3850,0.10388679941802852,0.07051295170084067,0.0009877942570800662,0.0013202184963624966,0.0006553700177976358,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_CONCAT,20260916,3,AVAILABLE,terminal_H,raw,3850,0.0837349927271181,0.05490404972475387,0.00036768196727986874,0.0005496023762793587,0.0001857615582803786,1.3552527156068805e-19,False
MECH_FIXED40,FIXED_CONCAT,20260916,6,AVAILABLE,terminal_H,raw,3850,0.12125773479085017,0.06918212936872202,0.00044362709811281793,0.0008791379067136006,8.11628951203556e-06,2.693564772268675e-19,False
MECH_FIXED40,FIXED_CONCAT,20260916,9,AVAILABLE,terminal_H,raw,3850,0.09001038339242132,0.061846526131391605,0.000828972251195081,0.001092218354576091,0.0005657261478140708,2.168404344971009e-19,False
MECH_FIXED40,FIXED_CONCAT,20260916,12,AVAILABLE,terminal_H,raw,3850,0.10379297281831097,0.07062368323814742,0.000988133048075154,0.0013014101914936218,0.0006748559046566865,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_CONCAT,20260917,3,AVAILABLE,terminal_H,raw,3850,0.08411515161982838,0.05524006552799064,0.00032693329335098956,0.0005319147534377972,0.00012195183326418209,1.2197274440461925e-19,False
MECH_FIXED40,FIXED_CONCAT,20260917,6,AVAILABLE,terminal_H,raw,3850,0.12172981639784584,0.0698696396769155,0.00040239131312960784,0.0009113762903922833,-0.00010659366413306724,4.0657581468206416e-19,False
MECH_FIXED40,FIXED_CONCAT,20260917,9,AVAILABLE,terminal_H,raw,3850,0.09023508549312281,0.06203152160909952,0.0008690330007997816,0.0012128413892860037,0.0005252246123135597,1.0842021724855044e-19,False
MECH_FIXED40,FIXED_CONCAT,20260917,12,AVAILABLE,terminal_H,raw,3850,0.10313629814348568,0.0703142179584313,0.0011376400170751404,0.0014645389177729222,0.0008107411163773585,2.168404344971009e-19,False
