system,alpha,scope,rmse,mae,unclipped_move_rmse,unclipped_move_mae,feasible,selected
hard_duration,1.0,macro,0.06953731725840084,0.039824758354021876,0.06953731725840084,0.039824758354021876,False,False
hard_duration,2.0,H3,0.06182448152842388,0.03415925654163527,0.06182448152842388,0.03415925654163527,False,False
hard_duration,2.0,H12,0.07720322243799148,0.04684725188505777,0.07720322243821456,0.04684725274850474,False,False
hard_duration,2.0,macro,0.06951385198320768,0.04050325421334652,0.06951385198331922,0.04050325464507001,False,False
hard_duration,4.0,H3,0.06346211591401602,0.03682707279502957,0.063484000122271,0.036831305871812006,False,False
hard_duration,4.0,H12,0.08011069442305442,0.04988837395181279,0.08011177107228941,0.04988869015968883,False,False
hard_duration,4.0,macro,0.07178640516853521,0.043357723373421184,0.0717978855972802,0.04335999801575042,False,False
hard_duration,8.0,H3,0.0725416580802523,0.045108767552266185,0.07265547742593037,0.04514082317860175,False,False
hard_duration,8.0,H12,0.09566009303802024,0.060825704967878674,0.09602147068740682,0.06089701593558916,False,False
hard_duration,8.0,macro,0.08410087555913627,0.05296723626007243,0.0843384740566686,0.05301891955709545,False,False
gate_duration,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
gate_duration,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,False
gate_duration,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,False
gate_duration,0.125,H3,0.06237711220211802,0.03321009340215714,0.06237711220211802,0.03321009340215714,True,False
gate_duration,0.125,H12,0.07828281222646426,0.04632096716602452,0.07828281222646426,0.04632096716602452,True,False
gate_duration,0.125,macro,0.07032996221429114,0.03976553028409083,0.07032996221429114,0.03976553028409083,True,False
gate_duration,0.25,H3,0.06236937168238312,0.033209143449828116,0.06236937168238312,0.033209143449828116,True,False
gate_duration,0.25,H12,0.07826009206739094,0.04631629307186443,0.07826009206739094,0.04631629307186443,True,False
gate_duration,0.25,macro,0.07031473187488703,0.03976271826084628,0.07031473187488703,0.03976271826084628,True,False
gate_duration,0.5,H3,0.06235414205838144,0.03320774709848316,0.06235414205838144,0.03320774709848316,True,False
gate_duration,0.5,H12,0.07821579525519594,0.04630750802776574,0.07821579525519594,0.04630750802776574,True,False
gate_duration,0.5,macro,0.07028496865678868,0.039757627563124454,0.07028496865678868,0.039757627563124454,True,False
gate_duration,1.0,H3,0.062324689325251426,0.03320656411135208,0.062324689325251426,0.03320656411135208,True,False
gate_duration,1.0,H12,0.07813178461381061,0.046291547467221486,0.07813178461381061,0.046291547467221486,True,False
gate_duration,1.0,macro,0.07022823696953101,0.03974905578928678,0.07022823696953101,0.03974905578928678,True,False
gate_duration,2.0,H3,0.06226981646954172,0.033208650245976176,0.06226981646954172,0.033208650245976176,True,False
gate_duration,2.0,H12,0.07798216249954913,0.04626993354358764,0.07798216249954913,0.04626993354358764,True,False
gate_duration,2.0,macro,0.07012598948454543,0.03973929189478191,0.07012598948454543,0.03973929189478191,True,False
gate_duration,4.0,H3,0.062176249194526405,0.03322560729578776,0.062176249194526405,0.03322560729578776,True,True
gate_duration,4.0,H12,0.077756980129246,0.046255804006364795,0.077756980129246,0.046255804006364795,True,True
gate_duration,4.0,macro,0.06996661466188621,0.03974070565107628,0.06996661466188621,0.03974070565107628,True,True
gate_duration,8.0,H3,0.0620541403864888,0.033305833845237554,0.0620541403864888,0.033305833845237554,False,False
gate_duration,8.0,H12,0.07760537670655067,0.04634501760713106,0.07760537670655067,0.04634501760713106,False,False
gate_duration,8.0,macro,0.06982975854651974,0.039825425726184305,0.06982975854651974,0.039825425726184305,False,False
gate_duplicate,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
gate_duplicate,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,False
gate_duplicate,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,False
gate_duplicate,0.125,H3,0.06238307603403835,0.0332108769062129,0.06238307603403835,0.0332108769062129,True,False
gate_duplicate,0.125,H12,0.07829351228617075,0.04632201836812163,0.07829351228617075,0.04632201836812163,True,False
gate_duplicate,0.125,macro,0.07033829416010455,0.03976644763716726,0.07033829416010455,0.03976644763716726,True,False
gate_duplicate,0.25,H3,0.062381226942611216,0.0332105165086706,0.062381226942611216,0.0332105165086706,True,False
gate_duplicate,0.25,H12,0.07828147260946572,0.04631849828632132,0.07828147260946572,0.04631849828632132,True,False
gate_duplicate,0.25,macro,0.07033134977603847,0.03976450739749596,0.07033134977603847,0.03976450739749596,True,False
gate_duplicate,0.5,H3,0.0623775628439807,0.033209803733393925,0.0623775628439807,0.033209803733393925,True,False
gate_duplicate,0.5,H12,0.0782584773701585,0.04631173846913227,0.0782584773701585,0.04631173846913227,True,False
gate_duplicate,0.5,macro,0.0703180201070696,0.039760771101263095,0.0703180201070696,0.039760771101263095,True,False
gate_duplicate,1.0,H3,0.06237037101151734,0.03320869250862333,0.06237037101151734,0.03320869250862333,True,False
gate_duplicate,1.0,H12,0.07821682770488697,0.04630015746292933,0.07821682770488697,0.04630015746292933,True,False
gate_duplicate,1.0,macro,0.07029359935820215,0.03975442498577633,0.07029359935820215,0.03975442498577633,True,False
gate_duplicate,2.0,H3,0.06235653302387886,0.03320747895882933,0.06235653302387886,0.03320747895882933,True,False
gate_duplicate,2.0,H12,0.07815092232741433,0.046282742315619615,0.07815092232741433,0.046282742315619615,True,False
gate_duplicate,2.0,macro,0.0702537276756466,0.03974511063722447,0.0702537276756466,0.03974511063722447,True,False
gate_duplicate,4.0,H3,0.06233104142034095,0.033207276590051564,0.06233104142034095,0.033207276590051564,True,True
gate_duplicate,4.0,H12,0.07808881439314656,0.04627259367798732,0.07808886578584735,0.04627301048903038,True,True
gate_duplicate,4.0,macro,0.07020992790674375,0.03973993513401944,0.07020995360309415,0.03974014353954097,True,True
gate_duplicate,8.0,H3,0.062288807679317874,0.03321671075074804,0.062288807679317874,0.03321671075074804,False,False
gate_duplicate,8.0,H12,0.07821241853326978,0.04634796379523554,0.07824410878149662,0.046355664163734274,False,False
gate_duplicate,8.0,macro,0.07025061310629382,0.03978233727299179,0.07026645823040725,0.039786187457241155,False,False
gate_permuted,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,False
gate_permuted,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,False
gate_permuted,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,False
gate_permuted,0.125,H3,0.06238119060277954,0.03321021929667468,0.06238119060277954,0.03321021929667468,True,False
gate_permuted,0.125,H12,0.07829870812773547,0.04632320131445059,0.07829870812773547,0.04632320131445059,True,False
