fold,horizon,samples,target_identity,causal_inputs,full_status_verified,status_metric_match,Chronos2_clipped_RMSE,Chronos2_clipped_MAE,Chronos2_clipped_WAPE,Chronos2_clipped_sMAPE,Chronos2_clipped_RAE,Chronos2_raw_RMSE,Chronos2_raw_MAE,Chronos2_raw_WAPE,Chronos2_raw_sMAPE,Chronos2_raw_RAE,GlobalFixed_RMSE,RMSE_gain_percent,Chronos2_cell_win
4,9,284,True,True,True,True,0.07286489943010035,0.04437176178438831,0.1707243390022992,0.25682879410587584,0.33973466530398744,0.07286606037311774,0.04437491452953814,0.17073646947244736,0.2597304276335232,0.33975880445860274,0.0710975752834961,-2.4857727419777516,False
4,12,281,True,True,True,True,0.07548538131983858,0.047185667236536215,0.18191942278206963,0.27149599676181646,0.36220576945900623,0.07548593638305262,0.04718709309579695,0.18192492003385968,0.27324077642305206,0.36221671461419686,0.0729095908607686,-3.5328554565459225,False
5,3,365,True,True,True,True,0.05280444071898769,0.027069851411591257,0.11144883778007915,0.19052563544068005,0.21914590546623866,0.05282120733114775,0.02707874538109966,0.11148545499492424,0.19548646291109414,0.21921790722832712,0.0543057002271275,2.7644602718701043,True
5,6,362,True,True,True,True,0.06185729497871289,0.034593350638175695,0.14242576924278832,0.2270413151626367,0.2799286214054275,0.061877704172305176,0.03460064033759893,0.14245578197728062,0.230659535957296,0.27998760949048895,0.0648199259495245,4.570555932320293,True
5,9,359,True,True,True,True,0.06672042618008879,0.03891661967902824,0.16042176555713855,0.24752463121991167,0.3152616745721662,0.0667241700963728,0.03892180281834513,0.1604431314508673,0.2508286232423581,0.31530366293585405,0.0703105151523477,5.106048454459417,True
5,12,356,True,True,True,True,0.06881554227442971,0.040956621967138285,0.16920176126504208,0.2590112614285399,0.33262889709315924,0.0688287536049926,0.04096220886976922,0.16922484211789976,0.26155799158455706,0.332674271080833,0.072816680263386,5.494809670646525,True
6,3,432,True,True,True,True,0.05196662737446773,0.028164785246841354,0.0998538266039928,0.1536563824989584,0.20262542525510863,0.05199407326037072,0.02818343419924931,0.0999199435384473,0.16025438785219193,0.20275959108946903,0.0505241915068838,-2.854941018477057,False
6,6,429,True,True,True,True,0.06257400021430569,0.035703410596606346,0.12669642088525768,0.18613339153077774,0.2571625088450196,0.06260144929363615,0.035719893141031835,0.1267549105183458,0.19101231049147124,0.2572812283848557,0.0596625030282545,-4.879944753025838,False
6,9,426,True,True,True,True,0.06877952594991878,0.040231182164468686,0.1429054950294622,0.20543324611201486,0.29015178855290863,0.06880157226676274,0.04024151079956493,0.14294218345450954,0.20915889444349664,0.2902262798252315,0.0649131966353432,-5.9561530089098715,False
6,12,423,True,True,True,True,0.07253149052541341,0.04285414822909434,0.1523664533629495,0.21617891210830806,0.30946816452871007,0.07254931795437945,0.04286017446659133,0.15238787944356202,0.2199226788257599,0.30951168257151973,0.0688271576127439,-5.382080331592289,False
