dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
household,household,fixed_panel,natural,60,5,192960,logistic,hist_gradient_boosting,10021,1260,1256,-0.014450382464993522,-0.013356464520100461,-0.014450382464993519,-0.013356464520100501,271,0.0030952999950386584,,,0.0010939179448930612,0.0010939179448930178,4.336808689942018e-17,3.9644734874204606e-14,A,A,False
household,household,fixed_panel,natural,60,5,203040,constant,logistic,10021,0,0,0.054973537821318794,0.054973537821318794,0.05497353782131894,0.05497353782131894,271,0.002278099986142479,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,203040,constant,hist_gradient_boosting,10021,0,0,0.04835447220364562,0.04835447220364562,0.04835447220364537,0.04835447220364537,271,0.002244899995275773,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,203040,logistic,hist_gradient_boosting,10021,0,0,-0.006619065617673163,-0.006619065617673163,-0.006619065617673156,-0.006619065617673156,271,0.002298999999766238,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,60,5,213120,constant,logistic,10021,0,0,0.031059570674833625,0.031059570674833625,0.031059570674833666,0.031059570674833666,271,0.002553400001488626,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,213120,constant,hist_gradient_boosting,10021,0,0,0.018793106820191037,0.018793106820191037,0.018793106820191148,0.018793106820191148,271,0.0022680999973090366,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,213120,logistic,hist_gradient_boosting,10021,0,0,-0.012266463854642595,-0.012266463854642595,-0.012266463854642584,-0.012266463854642584,271,0.0022576999908778816,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,60,5,223200,constant,logistic,10021,0,0,0.05055121891243222,0.05055121891243222,0.05055121891243227,0.05055121891243227,271,0.0022575999901164323,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,223200,constant,hist_gradient_boosting,10021,0,0,0.04749475767793684,0.04749475767793684,0.047494757677936636,0.047494757677936636,271,0.002267000003485009,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,223200,logistic,hist_gradient_boosting,10021,0,0,-0.0030564612344953757,-0.0030564612344953757,-0.003056461234495432,-0.003056461234495432,271,0.0022333999950205907,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,60,5,233280,constant,logistic,10021,1,0,0.04516671365675068,0.04516671365675068,0.04516671365675062,0.04516671365675062,271,0.0022554000024683774,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,233280,constant,hist_gradient_boosting,10021,1,0,0.03390141316178227,0.03390141316178227,0.033901413161782405,0.033901413161782405,271,0.002282300003571436,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,233280,logistic,hist_gradient_boosting,10021,1,0,-0.011265300494968412,-0.011265300494968412,-0.01126530049496843,-0.01126530049496843,271,0.0022261000121943653,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,60,5,243360,constant,logistic,10021,39,84,0.03710594229698127,0.040760840715638395,0.03742904246973062,0.04043774054288909,271,0.0021997000003466383,,,0.0036548984186571265,0.0030086980731584695,0.000646200345498657,0.1768039139473765,B,B,False
household,household,fixed_panel,natural,60,5,243360,constant,hist_gradient_boosting,10021,39,84,0.023819750931150716,0.024591085635098688,0.02399441618565373,0.02441642038059573,271,0.002222699986305088,,,0.0007713347039479714,0.00042200419494200017,0.0003493305090059712,0.4528909528094233,B,B,False
household,household,fixed_panel,natural,60,5,243360,logistic,hist_gradient_boosting,10021,39,84,-0.0167024153380259,-0.012753531108344356,-0.01644332435723535,-0.013012622089134888,271,0.00219719999586232,,,0.003948884229681544,0.0034307022681004627,0.0005181819615810816,0.13122237357231162,A,A,False
