system,alpha,scope,rmse,mae,unclipped_move_rmse,unclipped_move_mae,feasible,selected
OD_STATIC,8.0,H3,0.12706577561461233,0.08717122845919181,0.13037711196966,0.08829025120908697,False,False
OD_STATIC,8.0,H12,0.15809182090702503,0.10553850752342843,0.16267180007478033,0.1068325881226344,False,False
OD_STATIC,8.0,macro,0.14257879826081868,0.09635486799131013,0.14652445602222017,0.09756141966586068,False,False
OD_DUPLICATE,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,True
OD_DUPLICATE,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,True
OD_DUPLICATE,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,True
OD_DUPLICATE,0.125,H3,0.062235008733058185,0.03324277839900211,0.062235008733058185,0.03324277839900211,False,False
OD_DUPLICATE,0.125,H12,0.07811427191898507,0.04634269476674531,0.07811427192147335,0.046342701409929805,False,False
OD_DUPLICATE,0.125,macro,0.07017464032602162,0.03979273658287371,0.07017464032726577,0.039792739904465954,False,False
OD_DUPLICATE,0.25,H3,0.062142593906766797,0.03334611106429464,0.06214259417030718,0.03334624254778833,False,False
OD_DUPLICATE,0.25,H12,0.07799431569568843,0.04643013561478494,0.07799434096536859,0.0464304060122176,False,False
OD_DUPLICATE,0.25,macro,0.07006845480122761,0.03988812333953979,0.07006846756783788,0.03988832428000297,False,False
OD_DUPLICATE,0.5,H3,0.06213116176528732,0.03374943830434133,0.06213117145340661,0.033750486973754996,False,False
OD_DUPLICATE,0.5,H12,0.07797054912400636,0.04680179096071251,0.07797073552848256,0.04680306672197462,False,False
OD_DUPLICATE,0.5,macro,0.07005085544464684,0.04027561463252692,0.07005095349094459,0.040276776847864806,False,False
OD_DUPLICATE,1.0,H3,0.06279890472905818,0.03524129730753151,0.06279904152311515,0.03524522381783461,False,False
OD_DUPLICATE,1.0,H12,0.07878470744201507,0.04819807008957324,0.07878530254960395,0.0482021476074031,False,False
OD_DUPLICATE,1.0,macro,0.07079180608553662,0.041719683698552376,0.07079217203635954,0.041723685712618856,False,False
OD_DUPLICATE,2.0,H3,0.06675013246129091,0.04017601724388223,0.06675102148177986,0.04018664375827334,False,False
OD_DUPLICATE,2.0,H12,0.0836804339584869,0.053026159494526375,0.08368217660810323,0.05303645462293373,False,False
OD_DUPLICATE,2.0,macro,0.0752152832098889,0.046601088369204305,0.07521659904494155,0.046611549190603535,False,False
OD_DUPLICATE,4.0,H3,0.08255148111466756,0.05392320622483206,0.08282558290951506,0.05407203008969059,False,False
OD_DUPLICATE,4.0,H12,0.10356173266717379,0.06790159818026693,0.10370485521060341,0.06798755399776012,False,False
OD_DUPLICATE,4.0,macro,0.09305660689092068,0.060912402202549495,0.09326521906005923,0.061029792043725356,False,False
OD_DUPLICATE,8.0,H3,0.1278353540502691,0.08772057983132023,0.1311125968617344,0.08885024241715134,False,False
OD_DUPLICATE,8.0,H12,0.15933538755128707,0.10635761734296183,0.16401822031789529,0.10768538035141419,False,False
OD_DUPLICATE,8.0,macro,0.1435853708007781,0.09703909858714102,0.14756540858981484,0.09826781138428275,False,False
OD_VOLUME,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,True
OD_VOLUME,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,True
OD_VOLUME,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,True
OD_VOLUME,0.125,H3,0.06222446416426573,0.03325303698254548,0.06222446416671438,0.03325304211904147,False,False
OD_VOLUME,0.125,H12,0.07810304681661295,0.04634368436115707,0.07810304683824096,0.046343708629575105,False,False
OD_VOLUME,0.125,macro,0.07016375549043935,0.039798360671851274,0.07016375550247766,0.03979837537430829,False,False
OD_VOLUME,0.25,H3,0.062127668213158474,0.0333689031033878,0.06212766904005968,0.03336918099043611,False,False
OD_VOLUME,0.25,H12,0.07797408912807201,0.0464326858791084,0.07797413438779684,0.04643310925383188,False,False
OD_VOLUME,0.25,macro,0.07005087867061524,0.0399007944912481,0.07005090171392826,0.039901145122133996,False,False
OD_VOLUME,0.5,H3,0.06212609063670576,0.03381406348228503,0.06212610511161663,0.033815362461719616,False,False
OD_VOLUME,0.5,H12,0.0779391968017441,0.046816554371252185,0.07793942829864807,0.046818172368947066,False,False
OD_VOLUME,0.5,macro,0.07003264371922494,0.04031530892676861,0.07003276670513235,0.04031676741533334,False,False
OD_VOLUME,1.0,H3,0.06288688851721914,0.03541999646766796,0.06288704505809252,0.03542436977057311,False,False
OD_VOLUME,1.0,H12,0.07875874079076328,0.048266589413948825,0.07875944336145083,0.04827134551263405,False,False
OD_VOLUME,1.0,macro,0.0708228146539912,0.041843292940808394,0.07082324420977168,0.04184785764160358,False,False
OD_VOLUME,2.0,H3,0.06728280949229143,0.04066982089309135,0.06728372780267536,0.04068063259503905,False,False
OD_VOLUME,2.0,H12,0.08376738457105976,0.05326539369541584,0.08376939613705735,0.053276994072766426,False,False
OD_VOLUME,2.0,macro,0.07552509703167559,0.046967607294253595,0.07552656196986635,0.04697881333390273,False,False
OD_VOLUME,4.0,H3,0.08460453798958115,0.05531019212861288,0.08485279944674104,0.0554413631957393,False,False
OD_VOLUME,4.0,H12,0.10416108340334716,0.06852832299973477,0.10428288024337148,0.06860677904123723,False,False
OD_VOLUME,4.0,macro,0.09438281069646415,0.061919257564173824,0.09456783984505626,0.06202407111848826,False,False
OD_VOLUME,8.0,H3,0.13263164236363303,0.09056900916031482,0.1365973137671723,0.09192059105023137,False,False
OD_VOLUME,8.0,H12,0.16087003091012686,0.10755830742808971,0.165850742909029,0.10907317614393476,False,False
OD_VOLUME,8.0,macro,0.14675083663687993,0.09906365829420227,0.15122402833810064,0.10049688359708306,False,False
OD_MISALIGNED,0.0,H3,0.06238493648552846,0.0332112496331318,0.06238493648552846,0.0332112496331318,True,True
OD_MISALIGNED,0.0,H12,0.07830591311366505,0.04632589489157066,0.07830591311366505,0.04632589489157066,True,True
OD_MISALIGNED,0.0,macro,0.07034542479959675,0.039768572262351226,0.07034542479959675,0.039768572262351226,True,True
OD_MISALIGNED,0.125,H3,0.06223433702503618,0.03324597466367783,0.06223433702503618,0.03324597466367783,False,False
OD_MISALIGNED,0.125,H12,0.07811294691235157,0.04634217708117485,0.07811294691321896,0.04634218080188747,False,False
OD_MISALIGNED,0.125,macro,0.07017364196869388,0.03979407587242634,0.07017364196912756,0.03979407773278265,False,False
OD_MISALIGNED,0.25,H3,0.06214127512898832,0.03335574456090503,0.06214127528518223,0.033355843714182404,False,False
