phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP1,beijing,Gucheng,24,3,origin_week,15984,168,AP1_beijing_Gucheng_K24_origin_week_15984_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,10,HIGHER_STRUCTURE,0.0719895390265878,0.0796666931877892,False,0.0010370812650633,2.009503674571533e-14,0.0,0.0796666931877891,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Huairou,24,3,annual,8760,8737,AP1_beijing_Huairou_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,325,HIGHER_STRUCTURE,0.0926874946793699,0.10770851184922,False,1.9595436384634013e-14,1.8301718200663952e-07,0.0,0.1077085118492203,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Huairou,24,3,annual,8760,8737,AP1_beijing_Huairou_K24_annual_8760_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,325,HIGHER_STRUCTURE,-0.0028836011262126,0.0028403432299557,True,3.2367565384599974e-05,6.211953331410015e-05,0.0028836011262125,0.0028403432299558,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Huairou,24,3,origin_week,10440,168,AP1_beijing_Huairou_K24_origin_week_10440_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,A,A,A,43,HIGHER_STRUCTURE,-0.0788840086306576,-0.0464492391786957,False,1.9997892231060632e-14,0.0022683568537317,0.0788840086306576,0.0,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Huairou,24,3,origin_week,10776,168,AP1_beijing_Huairou_K24_origin_week_10776_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,33,HIGHER_STRUCTURE,0.116226390887894,0.2017172831156538,False,2.009503674571533e-14,9.517981844203716e-06,0.0,0.2017172831156538,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Huairou,24,3,origin_week,10776,168,AP1_beijing_Huairou_K24_origin_week_10776_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,33,HIGHER_STRUCTURE,-0.0067665384616196,0.0079393979272805,True,0.001683306063052,0.000962228636733,0.0067665384616196,0.0079393979272805,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Nongzhanguan,24,3,annual,8760,8737,AP1_beijing_Nongzhanguan_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,86,HIGHER_STRUCTURE,0.0571636953189611,0.0637144040393554,False,6.198431380140257e-05,2.009503674571533e-14,0.0,0.0637144040393553,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Nongzhanguan,24,3,origin_week,10272,168,AP1_beijing_Nongzhanguan_K24_origin_week_10272_constant_hist_gradient_boosting,constant,hist_gradient_boosting,A,A,A,13,HIGHER_STRUCTURE,-0.0396598492563259,-0.0278870450680771,False,0.0032235532709175,1.9997892231060632e-14,0.0396598492563259,0.0,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Tiantan,24,3,annual,8760,8737,AP1_beijing_Tiantan_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,389,HIGHER_STRUCTURE,0.0646784101802856,0.0818871248773864,False,1.9706458687096532e-14,6.08152190110095e-05,0.0,0.0818871248773862,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Tiantan,24,3,origin_week,10440,168,AP1_beijing_Tiantan_K24_origin_week_10440_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,88,HIGHER_STRUCTURE,-0.1216352289612797,0.1281023464071327,True,2.0206059048177852e-14,0.0031627533828965,0.1216352289612796,0.1281023464071327,OBSERVATION_INFORMATION_INSUFFICIENT
