phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP2,beijing,Aotizhongxin,24,3,origin_week,19032,168,AP2_beijing_Aotizhongxin_K24_origin_week_19032_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.0862573784626036,0.0862573784626036,False,2.0011770018868447e-14,1.9997892231060632e-14,0.0,0.0862573784626035,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19032,168,AP2_beijing_Aotizhongxin_K24_origin_week_19032_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.1006049413807554,0.1006049413807554,False,1.9997892231060632e-14,1.9997892231060632e-14,0.0,0.1006049413807554,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19032,168,AP2_beijing_Aotizhongxin_K24_origin_week_19032_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0143475629181518,0.0143475629181518,False,2.0001361678012583e-14,1.9999626954536612e-14,0.0,0.0143475629181518,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19200,168,AP2_beijing_Aotizhongxin_K24_origin_week_19200_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.0835085227769517,0.0835085227769517,False,1.9997892231060632e-14,1.9997892231060632e-14,0.0,0.0835085227769517,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19200,168,AP2_beijing_Aotizhongxin_K24_origin_week_19200_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0682794927815051,0.0682794927815051,False,1.990074771640593e-14,2.0011770018868447e-14,0.0,0.0682794927815051,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19200,168,AP2_beijing_Aotizhongxin_K24_origin_week_19200_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,A,A,A,0,STRUCTURALLY_EXACT,-0.0152290299954465,-0.0152290299954465,False,2.0001361678012583e-14,1.9999626954536612e-14,0.0152290299954465,0.0,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19368,168,AP2_beijing_Aotizhongxin_K24_origin_week_19368_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.1192600475919881,0.1192600475919881,False,2.0108914533523148e-14,1.990074771640593e-14,0.0,0.1192600475919882,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19368,168,AP2_beijing_Aotizhongxin_K24_origin_week_19368_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.1664750391335632,0.1664750391335632,False,2.009503674571533e-14,1.990074771640593e-14,0.0,0.1664750391335633,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19368,168,AP2_beijing_Aotizhongxin_K24_origin_week_19368_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,0,STRUCTURALLY_EXACT,0.0472149915415751,0.0472149915415751,False,2.0004831124964543e-14,1.9997892231060632e-14,0.0,0.0472149915415751,NO_AMBIGUOUS_LABELS
AP2,beijing,Aotizhongxin,24,3,origin_week,19536,168,AP2_beijing_Aotizhongxin_K24_origin_week_19536_constant_logistic,constant,logistic,B,B,B,0,STRUCTURALLY_EXACT,0.0260381453922185,0.0260381453922185,False,2.0199120154273945e-14,1.980013375479928e-14,0.0,0.0260381453922187,NO_AMBIGUOUS_LABELS
