independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,25416,2016-01-24 00:00:00,2016Q1,beijing_2016-01-24T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,25584,2016-01-31 00:00:00,2016Q1,beijing_2016-01-31T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,25752,2016-02-07 00:00:00,2016Q1,beijing_2016-02-07T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,25920,2016-02-14 00:00:00,2016Q1,beijing_2016-02-14T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,26088,2016-02-21 00:00:00,2016Q1,beijing_2016-02-21T00:00:00,24,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,26256,2016-02-28 00:00:00,2016Q1,beijing_2016-02-28T00:00:00,24,3,25,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,artificial,iid_10,21589,2015-08-17 13:00:00,2015Q3,beijing_2015-08-17T13:00:00,24,3,577,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,artificial,iid_30,21589,2015-08-17 13:00:00,2015Q3,beijing_2015-08-17T13:00:00,24,3,577,False,False,False
hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,AP2,beijing,Aotizhongxin,artificial,blocks_10,21589,2015-08-17 13:00:00,2015Q3,beijing_2015-08-17T13:00:00,24,3,577,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,annual,natural,17520,2015-03-01 00:00:00,2015Q1,beijing_2015-03-01T00:00:00,72,3,8713,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,17520,2015-03-01 00:00:00,2015Q1,beijing_2015-03-01T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,17688,2015-03-08 00:00:00,2015Q1,beijing_2015-03-08T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,17856,2015-03-15 00:00:00,2015Q1,beijing_2015-03-15T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,18024,2015-03-22 00:00:00,2015Q1,beijing_2015-03-22T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,18192,2015-03-29 00:00:00,2015Q1,beijing_2015-03-29T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,18360,2015-04-05 00:00:00,2015Q2,beijing_2015-04-05T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,18528,2015-04-12 00:00:00,2015Q2,beijing_2015-04-12T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,18696,2015-04-19 00:00:00,2015Q2,beijing_2015-04-19T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,18864,2015-04-26 00:00:00,2015Q2,beijing_2015-04-26T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,19032,2015-05-03 00:00:00,2015Q2,beijing_2015-05-03T00:00:00,72,3,168,False,False,False
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,19200,2015-05-10 00:00:00,2015Q2,beijing_2015-05-10T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,19368,2015-05-17 00:00:00,2015Q2,beijing_2015-05-17T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,19536,2015-05-24 00:00:00,2015Q2,beijing_2015-05-24T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,19704,2015-05-31 00:00:00,2015Q2,beijing_2015-05-31T00:00:00,72,3,168,False,False,False
constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting,,constant;hist_gradient_boosting,,AP2,beijing,Aotizhongxin,origin_week,natural,19872,2015-06-07 00:00:00,2015Q2,beijing_2015-06-07T00:00:00,72,3,168,True,True,False
