system,fit_id,alias_systems,horizon,target_scope,postprocess,scored_values,rmse,mae
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
