fit_id,family,gamma,horizon,target_scope,postprocess,scored_values,rmse,mae
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,9,terminal_H,clip_0_1,3850,0.08470332299882989,0.056986689023430674
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,9,path_1_to_H,clip_0_1,34650,0.07440746750464163,0.045093816905123256
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,12,terminal_H,raw,3850,0.09297915140884062,0.06068855430197765
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,12,path_1_to_H,raw,46200,0.07879009821102345,0.048821772186383325
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,12,terminal_H,clip_0_1,3850,0.09297289124032514,0.06067166723983587
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,12,path_1_to_H,clip_0_1,46200,0.07878279346869374,0.048805611405621493
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,3,terminal_H,raw,3850,0.07163711716579563,0.04164379186732246
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,3,path_1_to_H,raw,11550,0.0657980934644473,0.03702696507639026
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,3,terminal_H,clip_0_1,3850,0.07163220315676096,0.04162563343336778
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,3,path_1_to_H,clip_0_1,11550,0.06578317990652255,0.03699368696930827
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,6,terminal_H,raw,3850,0.07665766385761884,0.04783293774411714
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,6,path_1_to_H,raw,23100,0.07029794258117648,0.041384681210486565
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,6,terminal_H,clip_0_1,3850,0.07665500247978009,0.04782584217982769
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,6,path_1_to_H,clip_0_1,23100,0.07028988213894151,0.04136264142214078
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,9,terminal_H,raw,3850,0.08479206074055108,0.057082156554945154
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,9,path_1_to_H,raw,34650,0.07464131700297634,0.04530874360300567
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,9,terminal_H,clip_0_1,3850,0.08479072071480753,0.05707305175936475
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,9,path_1_to_H,clip_0_1,34650,0.07463543814956856,0.045291451403563235
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,12,terminal_H,raw,3850,0.09280999248586404,0.060654215558786584
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,12,path_1_to_H,raw,46200,0.07892288334998869,0.04897150258036197
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,12,terminal_H,clip_0_1,3850,0.09280298343666658,0.06063654903785366
SCRAMBLED_SMOOTH_D_g0.1,SCRAMBLED_SMOOTH_D,0.1,12,path_1_to_H,clip_0_1,46200,0.07891700055590302,0.04895569534756313
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,3,terminal_H,raw,3850,0.07191414110152482,0.041887030611097
