candidate,reference,horizon,target_scope,postprocess,origin,mae_gain,mse_gain
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1512,-6.907040223305794e-05,-3.471040307205939e-05
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1524,0.0004141600146385109,0.00013613731972682896
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1536,3.515631938501417e-05,6.9576378328284026e-06
TIME_SELECTED,BASE_OD,6,terminal_H,clip_0_1,1548,2.034737446244159e-06,-2.0650600597584138e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1392,-1.3746907889101241e-05,-1.6915080614954057e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1404,-3.077232762693217e-05,-7.891466446802491e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1416,-9.67934901541469e-05,1.969389637557359e-07
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1428,-8.014196548123965e-05,-4.718069418303592e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1440,-7.782681447192538e-05,-9.773530092811475e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1452,9.265226100172752e-06,-6.075055973995932e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1464,-4.7720967005954285e-05,-2.8455253334895133e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1476,-0.00011270236584326453,-1.9237146673970877e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1488,2.5972301229384635e-05,5.818790142645428e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1500,-8.354748101179858e-05,-2.1370849134788644e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1512,-7.519957142446208e-05,-7.031182084060272e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1524,0.0001251271071129343,7.781467936872845e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1536,1.2672709385210197e-05,9.861744740542594e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,raw,1548,-0.00011158703582525871,-6.0726584637274486e-05
