epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07575940146027527,0.047190845989199585
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.06958855126619669,0.04087529382265277
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06956813371506156,0.040839178448087356
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08435920340495884,0.057251235912139396
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08435920170125552,0.057250962669891506
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.0739600672359853,0.04487439570315239
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07394404531368778,0.04484368121645422
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09179416530914218,0.05987733057417071
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09178751467064594,0.05986304156463854
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07824987332251514,0.04853725308217056
20,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07823732224272271,0.0485124725860467
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07144759061943519,0.04126803245785704
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07143022922586907,0.041226059148754074
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06511731535477948,0.03655973372127595
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06507583571465252,0.036496700439216066
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07582289855148104,0.04707841079603883
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07580621089523612,0.047034903865030786
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.06961064673191868,0.04080991198988677
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06958402582194563,0.040756645642425975
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08393433211054101,0.05665377995562992
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08393230642617563,0.05664288613995316
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07382354228030445,0.0446639947330423
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07380315773985509,0.04461866579157065
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09187840943129681,0.0599852235389822
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09185407639812711,0.05995561301859362
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07815593619171611,0.04838398008815295
40,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0781377365706605,0.04834612777413761
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07155749091832687,0.04150404715197922
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344217,0.04148815061496082
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708264,0.03669940274660176
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.0653026967012024,0.0366599289799402
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889435,0.04762812144991265
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261242,0.04762124960119462
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.0699865059565207,0.04114355073647552
