epoch,stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
0,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667872,0.060710732536325016
0,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267542,0.048775701404106815
5,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,raw,3850,0.07175589486847836,0.041510479353875494
5,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.06554428338343357,0.036903318147615
5,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07174854406381369,0.041487776298370714
5,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06551430847318662,0.03685807427827462
5,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,raw,3850,0.07575535741449936,0.04701411802451493
5,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.06992571947587742,0.04111141143470481
5,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0757486113620614,0.04698608023592371
5,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06990879762876716,0.04107617304581733
5,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,raw,3850,0.08415648071486084,0.05620809056926242
5,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.07424668458389024,0.04490711264850113
5,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.0841388330168168,0.05618395637107325
5,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07422841814029174,0.04487181927227223
5,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,raw,3850,0.0932495390103367,0.060588538624027265
5,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.07863853917956345,0.04858825362034269
5,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09322511873437671,0.060544821925900875
5,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07861850118362387,0.04855355433943183
10,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,raw,3850,0.07162991340116684,0.04164327548645459
10,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.06545515893437165,0.036927352908731
10,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07160144406281896,0.04155541570058643
10,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06541145574263398,0.036842292005252804
10,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,raw,3850,0.07571500007252602,0.047018541062701695
10,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.06979859264098016,0.041038147731008154
10,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07569928346003328,0.046961512531946636
10,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06977014951489185,0.04096497845410674
10,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,raw,3850,0.08439911734738037,0.05679396823608087
10,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.07411237176984618,0.04487440057601552
10,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08435324489769055,0.05673451361823249
10,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07407742627640587,0.04480247965286895
10,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,raw,3850,0.09221821969512622,0.0602740934928963
10,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.07835629625290906,0.04851178563883817
10,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09218398702631311,0.06021680882009465
10,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07831743629957118,0.04844381428778296
20,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,raw,3850,0.07146807235270543,0.041570220040420325
20,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.06532215675513138,0.03693465515784068
20,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07144700333477086,0.04151336541090574
20,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06528524013690033,0.03686652122393719
20,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,raw,3850,0.0756759499945303,0.046967760864262416
20,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.06968308830095905,0.04102841403344683
20,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07563997795927528,0.04687803399371402
20,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06965264303207938,0.040957265110433065
20,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,raw,3850,0.08410589218548414,0.05647493876969123
20,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.07392159681755378,0.04475769452607121
20,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08402512900774003,0.05639669340010176
20,SELECT,PRODUCT_MSE,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07387285472122179,0.044676654110716606
20,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,raw,3850,0.09210728793314563,0.060162154292395846
20,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.07817793839708921,0.04839425493308942
20,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09204236713777583,0.06007059830657305
20,SELECT,PRODUCT_MSE,20260916,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0781188927454722,0.0483126031062032
40,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,raw,3850,0.0713956077818138,0.04142917382497275
40,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.06517505047812869,0.03678711864860719
40,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07137935848414304,0.041382318511175215
40,SELECT,PRODUCT_MSE,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06514114829260038,0.03672612610460774
40,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,raw,3850,0.07560005931802198,0.04701406322057784
40,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.06958349502545783,0.040984330678987234
40,SELECT,PRODUCT_MSE,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07557409053297748,0.04694404758667779
