dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,independent_lower,implication_lower,DP_lower,cover_LP_lower,cover_LP_lower_rounds,cover_LP_lower_max_violation,cover_LP_lower_primal_dual_gap_per_N,cover_LP_lower_fractionality,cover_ILP_lower,cover_ILP_lower_rounds,cover_ILP_lower_max_violation,cover_ILP_lower_primal_dual_gap_per_N,cover_ILP_lower_fractionality,independent_upper,implication_upper,DP_upper,cover_LP_upper,cover_LP_upper_rounds,cover_LP_upper_max_violation,cover_LP_upper_primal_dual_gap_per_N,cover_LP_upper_fractionality,cover_ILP_upper,cover_ILP_upper_rounds,cover_ILP_upper_max_violation,cover_ILP_upper_primal_dual_gap_per_N,cover_ILP_upper_fractionality,independent_direction,implication_direction,cover_LP_direction,cover_ILP_direction,DP_direction,cover_LP_width_gap,cover_LP_endpoint_gap,implication_width_gap,cover_ILP_DP_max_error
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.05204841729217017,0.0520484172921501,0.05204841729217017,0.05204841729217017,,,,,0.05204841729217017,,,,,0.05204841729217017,0.0520484172921901,0.05204841729217017,0.05204841729217017,,,,,0.05204841729217017,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.011819708945390731,0.0118197089453707,0.011819708945390731,0.011819708945390731,,,,,0.011819708945390731,,,,,0.011819708945390731,0.0118197089454107,0.011819708945390731,0.011819708945390731,,,,,0.011819708945390731,,,,,B,B,B,B,B,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.03581650611512416,0.0358165061151041,0.03581650611512416,0.03581650611512416,,,,,0.03581650611512416,,,,,0.03581650611512416,0.0358165061151441,0.03581650611512416,0.03581650611512416,,,,,0.03581650611512416,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.045031590552581165,0.0450315905525611,0.045031590552581165,0.045031590552581165,,,,,0.045031590552581165,,,,,0.045031590552581165,0.0450315905526011,0.045031590552581165,0.045031590552581165,,,,,0.045031590552581165,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.009215084437457013,0.009215084437437,0.009215084437457013,0.009215084437457013,,,,,0.009215084437457013,,,,,0.009215084437457013,0.009215084437477,0.009215084437457013,0.009215084437457013,,,,,0.009215084437457013,,,,,B,B,B,B,B,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,constant,logistic,48,PAIRWISE_INSUFFICIENT,-0.12525307443515551,-0.1252530744351755,-0.1252530744351556,-0.12525307443515551,1.0,0.0,0.0,0.0,-0.12525307443515551,1.0,0.0,0.0,0.0,0.0496542032624884,0.0496542032625084,0.049654203262488296,0.0496542032624884,1.0,0.0,0.0,0.0,0.0496542032624884,1.0,0.0,-2.114710523095536e-17,0.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,2.7755575615628914e-17,1.0408340855860843e-16,3.9995784462121264e-14,1.0408340855860843e-16
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,constant,hist_gradient_boosting,48,PAIRWISE_INSUFFICIENT,-0.10861716890334688,-0.1086171689033668,-0.10861716890334698,-0.10861716890334688,1.0,0.0,0.0,0.0,-0.10861716890334688,1.0,0.0,0.0,0.0,0.0362522018080523,0.0362522018080723,0.03625220180805201,0.0362522018080523,1.0,0.0,0.0,0.0,0.036252201808052324,1.0,0.0,-2.114710523095536e-17,0.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,1.942890293094024e-16,2.914335439641036e-16,4.010680676458378e-14,3.122502256758253e-16
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,logistic,hist_gradient_boosting,48,PAIRWISE_INSUFFICIENT,-0.013402001454436051,-0.013402001454456,-0.013402001454436067,-0.013402001454436046,1.0,0.0,5.28677630773884e-18,0.0,-0.013402001454436051,1.0,0.0,0.0,0.0,0.016635905531808663,0.0166359055318286,0.016635905531808656,0.016635905531808663,1.0,0.0,0.0,0.0,0.016635905531808663,1.0,0.0,0.0,0.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,-1.3877787807814457e-17,6.938893903907228e-18,3.9881292712706795e-14,1.5612511283791264e-17
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,constant,logistic,0,PAIRWISE_EXACT,-0.006378885960960579,-0.0063788859609805,-0.006378885960960579,-0.006378885960960579,,,,,-0.006378885960960579,,,,,-0.006378885960960579,-0.0063788859609406,-0.006378885960960579,-0.006378885960960579,,,,,-0.006378885960960579,,,,,A,A,A,A,A,0.0,0.0,3.990037467094254e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.02247007103379967,-0.0224700710338196,-0.02247007103379967,-0.02247007103379967,,,,,-0.02247007103379967,,,,,-0.02247007103379967,-0.0224700710337796,-0.02247007103379967,-0.02247007103379967,,,,,-0.02247007103379967,,,,,A,A,A,A,A,0.0,0.0,4.000272335602517e-14,0.0
